Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined,Close_Price
WHEAT-SRW - CHICAGO BOARD OF TRADE,131231,12/31/2013,1602,CBT,0,1,411316,78715,79979,92892,12944,12558,89621,159966,43354,39711,31358,23437,380288,363596,31028,47720,316749,67357,52214,73569,16901,2683,80237,151279,20969,41353,28915,9089,295257,282050,21492,34699,94567,11358,27765,25335,2055,3863,27003,26306,4766,5386,9471,7320,85031,81546,9536,13021,7157,4543,2472,-1098,555,-465,-2209,1061,2224,813,1158,1308,5116,8313,2041,-1156,100,19.1,19.4,22.6,3.1,3.1,21.8,38.9,10.5,9.7,7.6,5.7,92.5,88.4,7.5,11.6,100,21.3,16.5,23.2,5.3,0.8,25.3,47.8,6.6,13.1,9.1,2.9,93.2,89,6.8,11,100,12,29.4,26.8,2.2,4.1,28.6,27.8,5,5.7,10,7.7,89.9,86.2,10.1,13.8,373,69,74,15,8,17,42,92,48,58,58,53,251,295,360,56,64,17,7,7,42,89,33,69,49,29,216,246,205,34,64,16,7,14,22,25,11,19,40,30,125,163,15.9,10.7,27.2,20.1,15.8,10.6,25.7,19.7,17.3,13.4,29.4,24.8,17.3,13.4,27.8,23.8,32.1,18.4,49.5,30.1,31.7,17.8,43.4,27.2,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly,605.75
WHEAT-SRW - CHICAGO BOARD OF TRADE,131224,12/24/2013,1602,CBT,0,1,404159,74172,77507,93990,12389,13023,91830,158905,41130,38898,30200,22129,375172,355283,28987,48876,315752,64612,52540,75136,16886,2601,82683,150652,20616,40667,27232,9621,295936,280148,19816,35604,88407,9560,24967,24969,1618,4307,25891,24997,3770,5270,10007,5469,79236,75135,9171,13272,6974,2386,-583,-2340,2789,684,3634,1159,-1931,2374,2607,2865,7672,7590,-698,-616,100,18.4,19.2,23.3,3.1,3.2,22.7,39.3,10.2,9.6,7.5,5.5,92.8,87.9,7.2,12.1,100,20.5,16.6,23.8,5.3,0.8,26.2,47.7,6.5,12.9,8.6,3,93.7,88.7,6.3,11.3,100,10.8,28.2,28.2,1.8,4.9,29.3,28.3,4.3,6,11.3,6.2,89.6,85,10.4,15,371,65,72,15,8,17,45,86,46,60,56,50,245,287,358,56,62,16,8,6,46,83,34,68,48,27,218,237,197,31,60,16,7,14,22,24,11,17,38,29,119,156,16.2,11,27.8,20.9,16,10.9,26.3,20.6,17.2,13.6,29,25.4,17.2,13.6,27.8,24.7,34.6,18.5,50.8,30.6,34.5,18.4,46.7,28.6,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly,609
WHEAT-SRW - CHICAGO BOARD OF TRADE,131217,12/17/2013,1602,CBT,0,1,397185,71786,78090,96330,9600,12339,88196,157746,43061,36524,27593,19264,367500,347693,29685,49492,307900,60562,54182,76314,13403,2617,81753,148776,20759,38509,25090,6867,287381,271694,20519,36206,89285,11224,23908,25462,1643,4276,25316,27843,3429,5658,10146,4754,80119,75999,9166,13286,8876,3771,-2356,-5803,2352,2868,-149,963,2865,1918,-875,2043,7513,7860,1363,1016,100,18.1,19.7,24.3,2.4,3.1,22.2,39.7,10.8,9.2,6.9,4.9,92.5,87.5,7.5,12.5,100,19.7,17.6,24.8,4.4,0.8,26.6,48.3,6.7,12.5,8.1,2.2,93.3,88.2,6.7,11.8,100,12.6,26.8,28.5,1.8,4.8,28.4,31.2,3.8,6.3,11.4,5.3,89.7,85.1,10.3,14.9,360,65,76,16,6,16,42,85,46,56,50,46,235,282,348,54,66,17,6,5,45,80,32,62,47,23,207,230,197,35,60,16,7,14,20,26,11,18,37,25,118,155,16.6,11,28.3,20.4,16.3,11,26.9,20.2,17.5,14,29.6,25.4,17.5,14,28.7,24.7,34.8,19.7,49.7,31.4,34.6,19.6,46.8,29.8,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly,613.5
WHEAT - CHICAGO BOARD OF TRADE,131210,12/10/2013,1602,CBT,0,1,388309,68015,80446,102133,7248,9471,88345,156783,40196,34606,28468,17221,359987,339833,28322,48476,299560,57819,54797,78516,8524,2125,81457,148635,17959,36247,24959,6506,280629,263505,18931,36055,88749,10196,25649,26436,1543,4527,25586,26846,3539,5093,10243,3981,79358,76328,9391,12421,1633,5271,-6404,-2297,-2,715,-2058,1299,3323,-3974,760,-211,769,-520,864,2153,100,17.5,20.7,26.3,1.9,2.4,22.8,40.4,10.4,8.9,7.3,4.4,92.7,87.5,7.3,12.5,100,19.3,18.3,26.2,2.8,0.7,27.2,49.6,6,12.1,8.3,2.2,93.7,88,6.3,12,100,11.5,28.9,29.8,1.7,5.1,28.8,30.2,4,5.7,11.5,4.5,89.4,86,10.6,14,365,65,77,17,6,18,43,91,47,51,49,42,236,284,347,55,69,17,7,8,47,82,33,55,46,22,208,234,204,33,63,16,7,14,24,28,9,18,37,24,118,159,16.8,11,28.4,19.7,16.2,11,27.1,18.9,18.2,14.3,29.8,25.2,17.6,14.3,29.2,24.3,34.6,18.3,50.8,30.7,34.5,18.2,48.2,27.6,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly,628.75
WHEAT - CHICAGO BOARD OF TRADE,131203,12/3/2013,1602,CBT,0,1,386676,62744,86850,104430,7250,8756,90403,155484,36873,38580,27708,17432,359218,340353,27458,46323,303233,54625,64332,81791,8651,1182,81547,147470,17435,41980,24395,5237,283797,268702,19436,34531,83443,8119,22518,25828,1788,4385,25447,24605,2847,5408,12121,3387,75421,71651,8022,11792,-5148,226,-173,-2969,519,-277,-2576,-4268,184,2284,-1072,995,-2133,-4092,-3015,-1056,100,16.2,22.5,27,1.9,2.3,23.4,40.2,9.5,10,7.2,4.5,92.9,88,7.1,12,100,18,21.2,27,2.9,0.4,26.9,48.6,5.7,13.8,8,1.7,93.6,88.6,6.4,11.4,100,9.7,27,31,2.1,5.3,30.5,29.5,3.4,6.5,14.5,4.1,90.4,85.9,9.6,14.1,376,62,77,18,5,16,49,85,46,63,51,48,247,286,359,53,68,17,7,7,49,81,31,67,47,24,218,233,206,30,63,17,6,13,23,27,9,21,39,24,116,161,16.2,10.9,27.9,20.1,15.7,10.9,26.7,19.4,17.8,14,29.6,25.1,17.2,14,28.8,24.5,35,19.1,53.4,30.5,34.8,19.1,50,28.7,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly,651
WHEAT - CHICAGO BOARD OF TRADE,131126,11/26/2013,1602,CBT,0,1,391824,62518,87023,107399,6731,9033,92979,159752,36689,36296,28780,16437,361351,344445,30473,47379,313536,56247,65663,86722,8008,1267,82507,152560,19443,39256,25404,5130,290572,277475,22964,36061,78288,6271,21360,23741,1787,4702,25147,21867,2571,5134,11470,3213,70779,66970,7509,11318,-21162,-6525,-14337,-8152,-2512,-2539,3741,11496,-585,-3227,-6804,-3502,-20789,-18783,-373,-2379,100,16,22.2,27.4,1.7,2.3,23.7,40.8,9.4,9.3,7.3,4.2,92.2,87.9,7.8,12.1,100,17.9,20.9,27.7,2.6,0.4,26.3,48.7,6.2,12.5,8.1,1.6,92.7,88.5,7.3,11.5,100,8,27.3,30.3,2.3,6,32.1,27.9,3.3,6.6,14.7,4.1,90.4,85.5,9.6,14.5,380,64,83,18,6,17,42,89,46,61,55,53,248,298,363,59,75,18,6,9,43,85,34,63,50,26,223,247,206,27,64,17,6,13,23,25,11,18,41,25,114,164,15.5,11.3,27.1,20.9,15.1,11.3,25.4,20.4,16.6,13.5,29.1,24.5,16,13.5,27.7,24.3,36.7,20.3,55.1,31,35.4,20.3,51,30,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly,668.75
WHEAT - CHICAGO BOARD OF TRADE,131119,11/19/2013,1602,CBT,0,1,412986,69043,101360,115551,9243,11572,89238,148256,37274,39523,35584,19939,382140,363228,30846,49758,338188,64015,78869,94289,9361,5597,78515,142765,20950,41583,32089,9921,314870,299552,23318,38636,74798,5028,22491,23252,1872,3985,24297,19065,2750,4709,10264,3249,67270,63676,7528,11122,9836,3418,-502,-1856,-295,2046,-174,9839,-172,6407,3272,306,9975,14494,-139,-4658,100,16.7,24.5,28,2.2,2.8,21.6,35.9,9,9.6,8.6,4.8,92.5,88,7.5,12,100,18.9,23.3,27.9,2.8,1.7,23.2,42.2,6.2,12.3,9.5,2.9,93.1,88.6,6.9,11.4,100,6.7,30.1,31.1,2.5,5.3,32.5,25.5,3.7,6.3,13.7,4.3,89.9,85.1,10.1,14.9,396,63,86,20,7,19,43,87,49,62,68,67,263,322,382,56,79,20,7,15,42,84,41,67,62,40,240,279,203,26,64,17,7,13,20,24,9,19,40,28,113,163,15.4,11.1,27,20.3,14.4,10.5,25.2,18.9,15.8,12.2,28.4,22.6,14.8,12.2,26.4,22,38.8,25.5,56.3,35.1,37.4,25.5,52.6,34.1,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly,649.5
WHEAT - CHICAGO BOARD OF TRADE,131112,11/12/2013,1602,CBT,0,1,403150,65625,101862,117407,9538,9526,89412,138417,37446,33116,32312,19633,372165,348734,30985,54416,335169,61771,80013,97364,8189,6387,78247,135426,21856,33188,28950,12172,310985,292993,24184,42176,67981,3854,21849,20661,1967,2521,24650,16476,2105,4536,7970,2853,61180,55741,6801,12240,38153,17838,-6125,-1456,-315,3135,3683,33295,6496,4218,-477,2310,36224,38319,1929,-166,100,16.3,25.3,29.1,2.4,2.4,22.2,34.3,9.3,8.2,8,4.9,92.3,86.5,7.7,13.5,100,18.4,23.9,29,2.4,1.9,23.3,40.4,6.5,9.9,8.6,3.6,92.8,87.4,7.2,12.6,100,5.7,32.1,30.4,2.9,3.7,36.3,24.2,3.1,6.7,11.7,4.2,90,82,10,18,377,59,86,20,6,17,39,82,44,57,68,64,243,309,362,54,82,22,4,11,40,76,39,61,62,43,221,276,193,24,63,16,7,13,19,22,7,17,41,30,111,153,15.4,11.5,27.4,20.8,14.6,10.8,25.7,19.1,16.1,12.4,29.5,22.9,15.1,12.3,27.6,22.2,41.9,25.9,57.8,35.8,40.6,25.9,56,35.4,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly,644.5
WHEAT - CHICAGO BOARD OF TRADE,131105,11/5/2013,1602,CBT,0,1,364997,47787,107987,118863,9853,6391,85729,105122,30950,28898,32789,17323,335941,310415,29056,54582,304215,42148,87231,104945,8483,3224,72046,101857,19382,28679,28769,11782,282206,260728,22009,43487,60782,5639,20756,14223,1675,2862,22858,12440,2393,3423,7224,2337,53735,49687,7047,11095,833,11223,-20194,-2265,-394,1255,-14039,18893,4839,2821,-5601,-302,3532,-1504,-2699,2337,100,13.1,29.6,32.6,2.7,1.8,23.5,28.8,8.5,7.9,9,4.7,92,85,8,15,100,13.9,28.7,34.5,2.8,1.1,23.7,33.5,6.4,9.4,9.5,3.9,92.8,85.7,7.2,14.3,100,9.3,34.1,23.4,2.8,4.7,37.6,20.5,3.9,5.6,11.9,3.8,88.4,81.7,11.6,18.3,370,50,85,20,6,15,40,81,47,44,73,61,231,302,360,45,81,20,5,9,41,75,40,51,68,40,209,271,184,23,60,15,7,13,20,18,7,14,41,26,105,146,16.7,11,28.7,19.3,16.3,10.7,27.9,18.2,17.7,13.1,30.9,22.1,17.6,13.1,30.4,22.1,41,22.8,53.6,32.5,39.2,22.7,50.1,32.2,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly,649.75
WHEAT - CHICAGO BOARD OF TRADE,131029,10/29/2013,1602,CBT,0,1,364164,36564,128181,121128,10247,5136,99768,86229,26111,26077,38390,17625,332409,311919,31755,52245,309005,30593,108764,112088,9728,1218,84993,84350,16748,26118,33257,12911,284669,266976,24336,42029,55159,5971,19417,9991,1470,2967,21774,8878,2364,2848,8022,1825,47740,44943,7419,10216,-10784,-1815,-18099,-1935,-917,231,-5897,8159,2128,-192,-5258,-1404,-8884,-15160,-1900,4376,100,10,35.2,33.3,2.8,1.4,27.4,23.7,7.2,7.2,10.5,4.8,91.3,85.7,8.7,14.3,100,9.9,35.2,36.3,3.1,0.4,27.5,27.3,5.4,8.5,10.8,4.2,92.1,86.4,7.9,13.6,100,10.8,35.2,18.1,2.7,5.4,39.5,16.1,4.3,5.2,14.5,3.3,86.5,81.5,13.5,18.5,367,50,86,18,8,14,49,62,42,43,78,63,233,296,357,44,82,18,8,6,49,61,35,46,77,47,210,269,175,23,62,15,7,12,15,12,7,17,40,22,96,142,17.5,13.3,29.5,22,17.1,12.9,28.6,20.3,18.9,15.3,31.9,25,18.8,15.3,31.7,24.9,40.5,23.9,53,34.5,39.1,23.9,48.9,33.3,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly,667.75
