Datetime,Y,O,return_y,return_0,diff
2014/01/16-09:10,6812,7020,0,0,0
2014/01/16-09:15,6820,7000,0.001174398,-0.002849003,0.004023401
2014/01/16-09:20,6842,7000,0.003225806,0,0.003225806
2014/01/16-09:25,6844,7012,0.000292312,0.001714286,-0.001421974
2014/01/16-09:30,6830,7006,-0.002045587,-0.000855676,-0.001189911
2014/01/16-09:35,6830,7004,0,-0.00028547,0.00028547
2014/01/16-09:40,6830,7000,0,-0.000571102,0.000571102
2014/01/16-09:45,6828,7000,-0.000292826,0,-0.000292826
2014/01/16-09:50,6824,6992,-0.000585823,-0.001142857,0.000557034
2014/01/16-09:55,6812,6976,-0.001758499,-0.00228833,0.00052983
2014/01/16-10:00,6814,6970,0.0002936,-0.000860092,0.001153691
2014/01/16-10:05,6820,6966,0.00088054,-0.000573888,0.001454428
2014/01/16-10:10,6814,6954,-0.000879765,-0.001722653,0.000842887
2014/01/16-10:15,6818,6948,0.000587027,-0.000862813,0.001449839
2014/01/16-10:35,6808,6948,-0.001466706,0,-0.001466706
2014/01/16-10:40,6812,6958,0.000587544,0.001439263,-0.000851719
2014/01/16-10:45,6814,6956,0.0002936,-0.000287439,0.000581038
2014/01/16-10:50,6816,6958,0.000293513,0.000287522,5.99E-06
2014/01/16-10:55,6814,6954,-0.000293427,-0.000574878,0.000281451
2014/01/16-11:00,6816,6950,0.000293513,-0.000575209,0.000868722
2014/01/16-11:05,6802,6948,-0.002053991,-0.00028777,-0.001766221
2014/01/16-11:10,6796,6946,-0.000882094,-0.000287853,-0.000594241
2014/01/16-11:15,6800,6944,0.000588582,-0.000287936,0.000876517
2014/01/16-11:20,6796,6946,-0.000588235,0.000288018,-0.000876254
2014/01/16-11:25,6796,6946,0,0,0
2014/01/16-11:30,6800,6948,0.000588582,0.000287936,0.000300646
2014/01/16-13:35,6804,6950,0.000588235,0.000287853,0.000300383
2014/01/16-13:40,6806,6952,0.000293945,0.00028777,6.17E-06
2014/01/16-13:45,6802,6958,-0.000587717,0.000863061,-0.001450778
2014/01/16-13:50,6808,6958,0.000882094,0,0.000882094
2014/01/16-13:55,6810,6964,0.000293772,0.000862317,-0.000568545
2014/01/16-14:00,6800,6964,-0.001468429,0,-0.001468429
2014/01/16-14:05,6796,6954,-0.000588235,-0.001435956,0.000847721
2014/01/16-14:10,6800,6954,0.000588582,0,0.000588582
2014/01/16-14:15,6796,6966,-0.000588235,0.001725626,-0.002313861
2014/01/16-14:20,6798,6958,0.000294291,-0.001148435,0.001442726
2014/01/16-14:25,6798,6960,0,0.000287439,-0.000287439
2014/01/16-14:30,6792,6948,-0.000882613,-0.001724138,0.000841525
2014/01/16-14:35,6790,6950,-0.000294464,0.000287853,-0.000582317
2014/01/16-14:40,6790,6950,0,0,0
2014/01/16-14:45,6790,6950,0,0,0
2014/01/16-14:50,6778,6948,-0.001767305,-0.00028777,-0.001479535
2014/01/16-14:55,6790,6950,0.001770434,0.000287853,0.001482581
2014/01/16-15:00,6782,6946,-0.001178203,-0.00057554,-0.000602664
2014/01/17-09:05,6790,6946,0.001179593,0,0.001179593
2014/01/17-09:10,6784,6940,-0.000883652,-0.000863807,-1.98E-05
2014/01/17-09:15,6780,6940,-0.000589623,0,-0.000589623
2014/01/17-09:20,6776,6936,-0.000589971,-0.000576369,-1.36E-05
2014/01/17-09:25,6764,6948,-0.001770956,0.001730104,-0.00350106
2014/01/17-09:30,6764,6940,0,-0.00115141,0.00115141
2014/01/17-09:35,6768,6946,0.000591366,0.000864553,-0.000273187
2014/01/17-09:40,6764,6946,-0.000591017,0,-0.000591017
2014/01/17-09:45,6762,6942,-0.000295683,-0.000575871,0.000280188
2014/01/17-09:50,6770,6942,0.001183082,0,0.001183082
2014/01/17-09:55,6772,6944,0.000295421,0.000288101,7.32E-06
2014/01/17-10:00,6762,6930,-0.001476669,-0.002016129,0.00053946
2014/01/17-10:05,6756,6924,-0.000887311,-0.000865801,-2.15E-05
2014/01/17-10:10,6760,6924,0.000592066,0,0.000592066
2014/01/17-10:15,6758,6924,-0.000295858,0,-0.000295858
2014/01/17-10:35,6756,6920,-0.000295946,-0.000577701,0.000281755
2014/01/17-10:40,6758,6922,0.000296033,0.000289017,7.02E-06
2014/01/17-10:45,6752,6920,-0.000887837,-0.000288934,-0.000598903
2014/01/17-10:50,6756,6920,0.000592417,0,0.000592417
2014/01/17-10:55,6756,6924,0,0.000578035,-0.000578035
2014/01/17-11:00,6762,6924,0.000888099,0,0.000888099
2014/01/17-11:05,6758,6932,-0.000591541,0.001155402,-0.001746942
2014/01/17-11:10,6758,6930,0,-0.000288517,0.000288517
2014/01/17-11:15,6758,6924,0,-0.000865801,0.000865801
2014/01/17-11:20,6758,6922,0,-0.00028885,0.00028885
2014/01/17-11:25,6754,6926,-0.000591891,0.000577868,-0.001169759
2014/01/17-11:30,6748,6928,-0.000888362,0.000288767,-0.001177129
2014/01/17-13:35,6746,6920,-0.000296384,-0.001154734,0.00085835
2014/01/17-13:40,6746,6916,0,-0.000578035,0.000578035
2014/01/17-13:45,6736,6906,-0.00148236,-0.001445922,-3.64E-05
2014/01/17-13:50,6740,6912,0.000593824,0.00086881,-0.000274986
2014/01/17-13:55,6736,6910,-0.000593472,-0.000289352,-0.00030412
2014/01/17-14:00,6746,6916,0.001484561,0.000868307,0.000616254
2014/01/17-14:05,6742,6914,-0.000592944,-0.000289184,-0.000303759
2014/01/17-14:10,6744,6916,0.000296648,0.000289268,7.38E-06
2014/01/17-14:15,6740,6914,-0.00059312,-0.000289184,-0.000303935
2014/01/17-14:20,6738,6912,-0.000296736,-0.000289268,-7.47E-06
2014/01/17-14:25,6736,6910,-0.000296824,-0.000289352,-7.47E-06
2014/01/17-14:30,6736,6910,0,0,0
2014/01/17-14:35,6736,6910,0,0,0
2014/01/17-14:40,6736,6912,0,0.000289436,-0.000289436
2014/01/17-14:45,6746,6922,0.001484561,0.001446759,3.78E-05
2014/01/17-14:50,6734,6914,-0.001778832,-0.001155735,-0.000623097
2014/01/17-14:55,6738,6926,0.000594001,0.001735609,-0.001141608
2014/01/17-15:00,6732,6920,-0.000890472,-0.000866301,-2.42E-05
2014/01/20-09:05,6708,6930,-0.003565062,0.001445087,-0.005010149
2014/01/20-09:10,6768,6980,0.008944544,0.007215007,0.001729537
2014/01/20-09:15,6780,6990,0.00177305,0.001432665,0.000340385
2014/01/20-09:20,6796,7006,0.002359882,0.002288984,7.09E-05
2014/01/20-09:25,6784,7000,-0.001765745,-0.000856409,-0.000909336
2014/01/20-09:30,6786,7010,0.000294811,0.001428571,-0.00113376
2014/01/20-09:35,6782,7004,-0.000589449,-0.00085592,0.000266471
2014/01/20-09:40,6786,6982,0.000589797,-0.003141062,0.003730859
2014/01/20-09:45,6784,6966,-0.000294724,-0.002291607,0.001996883
2014/01/20-09:50,6786,6962,0.000294811,-0.000574218,0.000869029
2014/01/20-09:55,6798,6976,0.001768347,0.002010916,-0.00024257
2014/01/20-10:00,6800,6976,0.000294204,0,0.000294204
2014/01/20-10:05,6816,6980,0.002352941,0.000573394,0.001779547
2014/01/20-10:10,6832,7000,0.002347418,0.00286533,-0.000517912
2014/01/20-10:15,6810,6980,-0.003220141,-0.002857143,-0.000362998
2014/01/20-10:35,6812,6988,0.000293686,0.001146132,-0.000852446
2014/01/20-10:40,6812,6982,0,-0.000858615,0.000858615
2014/01/20-10:45,6806,6982,-0.000880799,0,-0.000880799
2014/01/20-10:50,6812,6984,0.000881575,0.000286451,0.000595124
2014/01/20-10:55,6810,6980,-0.0002936,-0.000572738,0.000279138
2014/01/20-11:00,6806,6984,-0.000587372,0.000573066,-0.001160437
2014/01/20-11:05,6804,6980,-0.000293858,-0.000572738,0.000278879
2014/01/20-11:10,6796,6970,-0.001175779,-0.001432665,0.000256886
2014/01/20-11:15,6798,6972,0.000294291,0.000286944,7.35E-06
2014/01/20-11:20,6800,6978,0.000294204,0.000860585,-0.000566381
2014/01/20-11:25,6802,6990,0.000294118,0.00171969,-0.001425573
2014/01/20-11:30,6800,6990,-0.000294031,0,-0.000294031
2014/01/20-13:35,6814,7002,0.002058824,0.001716738,0.000342085
2014/01/20-13:40,6818,7012,0.000587027,0.001428163,-0.000841137
2014/01/20-13:45,6808,7014,-0.001466706,0.000285225,-0.001751931
2014/01/20-13:50,6822,7028,0.002056404,0.001996008,6.04E-05
2014/01/20-13:55,6814,7026,-0.001172677,-0.000284576,-0.000888101
2014/01/20-14:00,6816,7016,0.000293513,-0.001423285,0.001716798
2014/01/20-14:05,6812,7010,-0.000586854,-0.000855188,0.000268334
2014/01/20-14:10,6818,7008,0.000880799,-0.000285307,0.001166105
2014/01/20-14:15,6820,7012,0.000293341,0.000570776,-0.000277435
2014/01/20-14:20,6818,7000,-0.000293255,-0.001711352,0.001418097
2014/01/20-14:25,6818,7006,0,0.000857143,-0.000857143
2014/01/20-14:30,6820,7020,0.000293341,0.001998287,-0.001704946
2014/01/20-14:35,6820,7020,0,0,0
2014/01/20-14:40,6818,7006,-0.000293255,-0.001994302,0.001701047
2014/01/20-14:45,6818,7006,0,0,0
2014/01/20-14:50,6816,7008,-0.000293341,0.00028547,-0.000578811
2014/01/20-14:55,6826,7006,0.001467136,-0.000285388,0.001752524
2014/01/20-15:00,6826,7008,0,0.00028547,-0.00028547
2014/01/21-09:05,6802,6998,-0.003515968,-0.001426941,-0.002089028
2014/01/21-09:10,6794,7002,-0.001176125,0.000571592,-0.001747717
2014/01/21-09:15,6800,7006,0.000883132,0.000571265,0.000311867
2014/01/21-09:20,6794,7000,-0.000882353,-0.000856409,-2.59E-05
2014/01/21-09:25,6784,6980,-0.001471887,-0.002857143,0.001385256
2014/01/21-09:30,6790,6970,0.000884434,-0.001432665,0.002317099
2014/01/21-09:35,6794,6974,0.000589102,0.000573888,1.52E-05
2014/01/21-09:40,6794,6968,0,-0.000860338,0.000860338
2014/01/21-09:45,6792,6966,-0.000294377,-0.000287026,-7.35E-06
2014/01/21-09:50,6798,6970,0.000883392,0.000574218,0.000309175
2014/01/21-09:55,6800,6974,0.000294204,0.000573888,-0.000279684
2014/01/21-10:00,6804,6970,0.000588235,-0.000573559,0.001161794
2014/01/21-10:05,6802,6974,-0.000293945,0.000573888,-0.000867833
2014/01/21-10:10,6808,6972,0.000882094,-0.000286779,0.001168873
2014/01/21-10:15,6808,6972,0,0,0
2014/01/21-10:35,6798,6974,-0.00146886,0.000286862,-0.001755722
2014/01/21-10:40,6794,6974,-0.000588408,0,-0.000588408
2014/01/21-10:45,6796,6968,0.000294377,-0.000860338,0.001154716
2014/01/21-10:50,6798,6982,0.000294291,0.002009185,-0.001714894
2014/01/21-10:55,6800,6980,0.000294204,-0.000286451,0.000580655
2014/01/21-11:00,6796,6976,-0.000588235,-0.000573066,-1.52E-05
