date,open,high,low,close
1999/10/25,12973.59,13130.1,12965.55,13034.18
1999/10/26,12932.96,12959.3,12765.65,12797.38
1999/10/27,12796.97,12846.3,12687.66,12709.07
1999/10/28,12780.96,13019.09,12750.36,12758.88
1999/10/29,13072.59,13283.6,13072.59,13256.95
1999/11/01,13309.4,13398.84,13281.05,13322.11
1999/11/02,13335.25,13405.41,13278.17,13335.84
1999/11/03,13366.12,13497.36,13230.72,13257.33
1999/11/04,13272.3,13693.39,13272.3,13651.51
1999/11/05,13698.3,13730.89,13533.26,13610.27
1999/11/08,13659.26,13756.84,13513.66,13521.11
1999/11/09,13585.65,13735.07,13574.42,13669.7
1999/11/10,13734.41,14005.26,13734.41,13975.54
1999/11/11,14053.47,14217.36,13916.14,14105.71
1999/11/12,14110.83,14268.39,13977.95,14189.67
1999/11/15,14251.29,14634.99,14251.29,14562.22
1999/11/16,14619.42,14726.65,14491.39,14689.46
1999/11/17,14997.21,15072.65,14604.91,14704.48
1999/11/18,14723.3,14783.8,14606.54,14721.74
1999/11/19,14745.46,15127.14,14745.46,15073.1
1999/11/22,15075.78,15323.3,15057.29,15285.03
1999/11/23,15339.97,15521.47,15024.83,15393.2
1999/11/24,15328.93,15460.15,15113.65,15307.28
1999/11/25,15121.27,15308.47,14903.43,14998.77
1999/11/26,15023.09,15339.39,15023.09,15274.53
1999/11/29,15255.68,15581.96,15255.68,15461.11
1999/11/30,15504.31,15640.54,15173.2,15377.19
1999/12/01,15277.31,15519.61,15146.03,15422.52
1999/12/02,15532.41,15655.15,15369.39,15603.04
1999/12/03,15635.44,15875.96,15519.1,15840.41
1999/12/06,15952.76,16168.62,15873.54,16168.62
1999/12/07,16190.96,16237.51,15952.58,16073.09
1999/12/08,16040.38,16046.12,15833.11,15989.38
1999/12/09,15963.68,16455.01,15941.77,16370.95
1999/12/10,16386.54,16495.36,16321.82,16380.21
1999/12/13,16505.35,16635.52,16349.45,16442.11
1999/12/14,16508.19,16516.37,16121.56,16282.7
1999/12/15,16277.1,16277.1,15785.34,15825.31
1999/12/16,15814.58,15821.98,15512.3,15571.36
1999/12/17,15737.49,16003.24,15737.49,15986.35
1999/12/20,15999.99,16260.77,15885.22,16212.39
1999/12/21,16228.52,16334.89,15964.71,16248.74
1999/12/22,16323.29,16437.86,16137.6,16192.4
1999/12/23,16216.97,16336.5,16166.15,16296.08
1999/12/24,16404.46,16833.28,16404.46,16833.28
1999/12/28,16820.87,16979.44,16810.87,16928.29
1999/12/29,16997.86,17138.11,16577.07,16660.82
1999/12/30,16772.95,17050.4,16737.9,16962.1
2000/01/03,17057.7,17426.16,17057.7,17369.63
2000/01/04,17303,17303,16933.52,17072.82
2000/01/05,16608.55,16608.55,15688.49,15846.72
2000/01/06,15942.07,15971.03,14763.97,15153.23
2000/01/07,15329.34,15513.89,15108.75,15405.63
2000/01/10,15631,16065.09,15631,15848.15
2000/01/11,15981.13,16196.09,15736.17,15862.1
2000/01/12,15691.73,15744.04,15545.67,15714.2
2000/01/13,15763.26,15861.17,15458.63,15633.96
2000/01/14,15741.54,15863.48,15322.19,15542.23
2000/01/17,15666.06,15827.51,15474.39,15574.56
2000/01/18,15575.68,15801.07,15508.08,15789.2
2000/01/19,15719.04,15719.04,15192.28,15275.34
2000/01/20,15347.7,15347.7,15078.03,15215.31
2000/01/21,15094.9,15120.36,14903.7,15108.41
2000/01/24,15233.79,15413.75,15020.17,15167.55
2000/01/25,15093.53,15150.22,14910.29,15103.04
2000/01/26,15164.8,15452.72,15164.8,15427.72
2000/01/27,15460.21,15925.18,15460.21,15917.81
2000/01/28,16052.07,16315.74,16023.37,16185.94
2000/01/31,15889.05,15889.05,15444.82,15532.34
2000/02/01,15600.26,15764.4,15580.46,15653.86
2000/02/02,15747.56,15957.92,15747.56,15789.82
2000/02/03,15795.59,16010.03,15702.85,15968.12
2000/02/08,16079.89,16285.93,15940.31,16228.73
2000/02/09,16456.87,16967.9,16456.87,16819.46
2000/02/10,16679.79,16874.09,16525.56,16845.17
2000/02/11,17024.37,17653.65,17024.37,17380.3
2000/02/14,17546.47,17939.27,17107.9,17188.96
2000/02/15,17257.37,17296.97,16548.75,16688.16
2000/02/16,16771.1,17144.95,16732.81,17043.39
2000/02/17,17075.9,17229.15,16770.14,16981.23
2000/02/18,16985.3,17027.95,16468.95,16599.16
2000/02/21,16412.63,16477.1,16136.5,16322.37
2000/02/22,16294.94,16442.58,15776.35,16255.17
2000/02/23,16313.96,16523.65,16297.13,16376.79
2000/02/24,16512.57,17083.3,16512.57,17058.66
2000/02/25,17279.51,17414.46,16905.4,17200.98
2000/02/28,17434.72,17746.77,16638.46,16984.44
2000/02/29,17140.21,17290.07,17021.72,17169.44
2000/03/01,17267.27,17275.44,16617.95,16843.59
2000/03/02,16996.06,17118.4,16769.57,16936.81
2000/03/03,16903.55,17361.92,16795.8,17285.24
2000/03/06,17500.97,17855.21,17500.97,17758.76
2000/03/07,17656.47,17876.78,17471.74,17865.36
2000/03/08,17687.58,18058.97,17323.76,17951.43
2000/03/09,18031.78,18249.86,17613.8,17637.03
2000/03/10,17727.96,18001.54,17574.06,17831.86
2000/03/13,17650.62,17786.28,17301.37,17301.37
2000/03/14,17125.9,17220.26,16837.02,16929.16
2000/03/15,16847.3,16901.31,16553.17,16747.2
2000/03/16,16775.23,16826.25,16315.04,16359
2000/03/17,16688.04,17096,16617.18,17082.99
2000/03/20,16878.81,17325.15,16708.72,17234.46
2000/03/21,17253.04,17345.71,16896.7,17199.98
2000/03/22,17418.91,17560.69,17274.56,17547.04
2000/03/23,17705.26,17856.36,17391.97,17710.58
2000/03/24,17768.06,17879.37,17577.71,17784.57
2000/03/27,17827.71,18350.61,17815.68,18292.86
2000/03/28,18272.8,18397.57,18188.27,18301.69
2000/03/29,18203.13,18249.27,17950.2,18096.37
2000/03/30,18011.14,18038.47,17456.56,17467.15
2000/03/31,17383.63,17537.13,17107.44,17406.54
2000/04/03,17444.48,17458.06,16872.82,16892.93
2000/04/05,16599.07,16736.22,16246.53,16318.44
2000/04/06,16416.48,16528.58,16283.2,16491.39
2000/04/07,16657.84,16992.53,16657.84,16941.68
2000/04/10,17038.22,17083.27,16676.07,16850.74
2000/04/11,16683.4,16683.4,16422.27,16487.66
2000/04/12,16391.12,16762.86,16267.72,16577.09
2000/04/13,16345.26,16470.38,16043.85,16352.56
2000/04/14,16254.26,16270.77,15906.29,16142.76
2000/04/17,15306.05,15306.05,14624.33,14762.37
2000/04/18,15158.15,15409.67,15158.15,15278.32
2000/04/19,15558.52,15667.16,15338.1,15427.2
