hid,chunk,has_space
33BFF6QPI1YEFYISIWWDVQKGH8RW3Z,"Landmark Center, 8th Fl",0
3HUR21WDDUCUK1K6HMLPN3U0ZBSYX0,Contact: The C3 team at MakemeC3@cic.us -- Additional information at www.cambridgecoworking.com.,0
3566S7OX5D63FG3CNKAIFH62QX517B,"A powerful tool for developers, the MySQL Database Server module provides a schema editor, table data browser, dump and execute SQL features, and the ability to stop and start the MySQL server from the GUI. Virtualmin also provides a similarly capable PostgreSQL module, and Install Scripts for phpmyadmin and phppgadmin.",0
3GV1I4SEO9CX1NTBXKN9TIFKTSQ6LN,"Easy access to T, Hubway, and parking",0
37SDSEDIN9P7FU8VXP2OTH2X1HB18Y,Check out our Private Offices,1
3CIS7GGG6564XS9KCGY8WT3GNH6UEP,"                    By Michael Carney        , written on        June 17, 2014      ",0
3CMIQF80GND8SK9OPPV5A4EE3YD6QC,"										Workbarâ€™s coworking spaces provide the right balance between concentration and collaboration. Join Workbarâ€™s ecosystem of startups, small businesses, independent professionals, and remote teams to do your best work.									",1
3RWB1RTQDJAAWMRXIRDEUDKV4XGP8P,"â€ùWe went from 3,000 sq ft to 13,000 sq ft. That allows for a lot of different interactions and collisions that were great where we were before but it will be even greater with the capacity of this new space that we have,â€ù Ardinger said.",0
3EGKVCRQFWFN7YH5CQT7Y638G84BY4,"Common space / kitchen, available for use day and night",0
3Z56AA6EK4NH75BWXWOOTVU9TXG6MP,"Workbar Union â€“ $350 / month full-time open workspace, $500+ / month dedicated deskÂ â€“ The newest Workbar location, this space opened recently in Union Square.",1
32FESTC2NHDP0UP6GPSD653D25TUCW,"Cloudmin is our cloud computing control panel, to allow creation and management of virtual machines in an easy to use web-based UI. Offering support for KVM, Xen, LXC, OpenVZ, Amazon EC2, and Google Compute Engine, it is a flexible interface to integrate internal and external cloud services under one UI. Cloudmin provides a central view of your cloud resources, including update information, analytics, monitoring, and more. Cloudmin is integrated with Webmin and Virtualmin, to make it easy to manage cloud-based web hosting infrastructure.",0
3ZVPAMTJWNQA1EDUEHTRRL18TYHRGZ,Beth McKeon joins the NMotion team as Program Manager. Photo courtesy of NMotion.,0
38LRF35D5LJ1NUTNNWHCD2ZJWSGU3Y,"PBworks  / HelpTerms of use / Privacy policy",0
39RRBHZ0AUO2L2PGDTMQDP6HPUOVZL,Photo credit: Ed Wonsek,0
3GMLHYZ0LEK23XQBCHA23WVW5TBYU8,"In 2009 the main tenant of our space folded, leaving us with the option to either vacate or get creative with 5000 square feet.Â We quickly developed our plans for a coworking space and pitched the landlords on our concept.Â Luckily they were intrigued and gave us a chance to experiment with the idea.",1
