STORE_NUMBER,STORE_NAME,ZIP,CARRIER_ROUTE
1,Harwood Heights,60007,C037
1,Harwood Heights,60018,C015
1,Harwood Heights,60018,C016
1,Harwood Heights,60068,C004
1,Harwood Heights,60068,C007
1,Harwood Heights,60068,C008
1,Harwood Heights,60068,C009
1,Harwood Heights,60068,C010
1,Harwood Heights,60068,C011
1,Harwood Heights,60068,C013
1,Harwood Heights,60068,C014
1,Harwood Heights,60068,C016
1,Harwood Heights,60068,C021
1,Harwood Heights,60068,C026
1,Harwood Heights,60068,C033
1,Harwood Heights,60068,C036
1,Harwood Heights,60068,C038
1,Harwood Heights,60068,C041
1,Harwood Heights,60068,C053
1,Harwood Heights,60077,C061
1,Harwood Heights,60106,C011
1,Harwood Heights,60176,B001
1,Harwood Heights,60176,B002
1,Harwood Heights,60176,B004
1,Harwood Heights,60176,C000
1,Harwood Heights,60176,C041
1,Harwood Heights,60176,C042
1,Harwood Heights,60176,C043
1,Harwood Heights,60176,C044
1,Harwood Heights,60176,C046
1,Harwood Heights,60176,C048
1,Harwood Heights,60176,C049
1,Harwood Heights,60176,C050
1,Harwood Heights,60191,B001
1,Harwood Heights,60191,B002
1,Harwood Heights,60191,B003
1,Harwood Heights,60191,B004
1,Harwood Heights,60191,B007
1,Harwood Heights,60191,C013
1,Harwood Heights,60630,B011
1,Harwood Heights,60630,C024
1,Harwood Heights,60630,C027
1,Harwood Heights,60630,C028
1,Harwood Heights,60630,C029
1,Harwood Heights,60630,C030
1,Harwood Heights,60630,C032
1,Harwood Heights,60630,C033
1,Harwood Heights,60630,C034
1,Harwood Heights,60630,C035
1,Harwood Heights,60630,C036
1,Harwood Heights,60630,C037
1,Harwood Heights,60630,C040
1,Harwood Heights,60630,C042
1,Harwood Heights,60630,C048
1,Harwood Heights,60631,B001
1,Harwood Heights,60631,B006
1,Harwood Heights,60631,B008
1,Harwood Heights,60631,B010
1,Harwood Heights,60631,C001
1,Harwood Heights,60631,C002
1,Harwood Heights,60631,C004
1,Harwood Heights,60631,C005
1,Harwood Heights,60631,C006
1,Harwood Heights,60631,C008
1,Harwood Heights,60631,C010
1,Harwood Heights,60631,C011
1,Harwood Heights,60631,C012
1,Harwood Heights,60631,C013
1,Harwood Heights,60631,C014
1,Harwood Heights,60631,C015
1,Harwood Heights,60631,C016
1,Harwood Heights,60631,C017
1,Harwood Heights,60631,C019
1,Harwood Heights,60631,C020
1,Harwood Heights,60631,C021
1,Harwood Heights,60631,C023
1,Harwood Heights,60631,C024
1,Harwood Heights,60631,C025
1,Harwood Heights,60631,C026
1,Harwood Heights,60631,C027
1,Harwood Heights,60631,C028
1,Harwood Heights,60631,C030
1,Harwood Heights,60631,C033
1,Harwood Heights,60634,B010
1,Harwood Heights,60634,C004
1,Harwood Heights,60634,C014
1,Harwood Heights,60634,C017
1,Harwood Heights,60634,C020
1,Harwood Heights,60634,C030
1,Harwood Heights,60634,C033
1,Harwood Heights,60634,C039
1,Harwood Heights,60634,C042
1,Harwood Heights,60634,C046
1,Harwood Heights,60634,C061
1,Harwood Heights,60634,C062
1,Harwood Heights,60634,C095
1,Harwood Heights,60642,C013
1,Harwood Heights,60642,C041
1,Harwood Heights,60646,B003
1,Harwood Heights,60646,B004
1,Harwood Heights,60646,C022
1,Harwood Heights,60646,C023
1,Harwood Heights,60646,C024
1,Harwood Heights,60646,C025
1,Harwood Heights,60646,C026
1,Harwood Heights,60646,C029
1,Harwood Heights,60646,C030
1,Harwood Heights,60646,C031
1,Harwood Heights,60646,C033
1,Harwood Heights,60646,C035
1,Harwood Heights,60646,C036
1,Harwood Heights,60646,C037
1,Harwood Heights,60646,C046
1,Harwood Heights,60646,C047
1,Harwood Heights,60646,C052
1,Harwood Heights,60646,C056
1,Harwood Heights,60646,C057
1,Harwood Heights,60656,B001
1,Harwood Heights,60656,B002
1,Harwood Heights,60656,B003
1,Harwood Heights,60656,B007
1,Harwood Heights,60656,B008
1,Harwood Heights,60656,B010
1,Harwood Heights,60656,C001
1,Harwood Heights,60656,C004
1,Harwood Heights,60656,C005
1,Harwood Heights,60656,C006
1,Harwood Heights,60656,C007
1,Harwood Heights,60656,C008
1,Harwood Heights,60656,C010
1,Harwood Heights,60656,C011
1,Harwood Heights,60656,C012
1,Harwood Heights,60656,C014
1,Harwood Heights,60656,C015
1,Harwood Heights,60656,C016
1,Harwood Heights,60656,C025
1,Harwood Heights,60656,C027
1,Harwood Heights,60656,C032
1,Harwood Heights,60656,C035
1,Harwood Heights,60656,C036
1,Harwood Heights,60656,C037
1,Harwood Heights,60656,C038
1,Harwood Heights,60656,C040
1,Harwood Heights,60656,C044
1,Harwood Heights,60656,C045
1,Harwood Heights,60656,C046
1,Harwood Heights,60656,C047
1,Harwood Heights,60656,C048
1,Harwood Heights,60656,C049
1,Harwood Heights,60706,C000
1,Harwood Heights,60706,C002
1,Harwood Heights,60706,C003
1,Harwood Heights,60706,C017
1,Harwood Heights,60706,C018
1,Harwood Heights,60706,C019
1,Harwood Heights,60706,C020
1,Harwood Heights,60706,C021
1,Harwood Heights,60706,C022
1,Harwood Heights,60706,C023
1,Harwood Heights,60706,C024
1,Harwood Heights,60706,C026
1,Harwood Heights,60706,C028
1,Harwood Heights,60706,C029
1,Harwood Heights,60706,C030
1,Harwood Heights,60706,C031
1,Harwood Heights,60706,C033
1,Harwood Heights,60706,C034
1,Harwood Heights,60706,C050
1,Harwood Heights,60706,C051
1,Harwood Heights,60706,C053
1,Harwood Heights,60706,C054
1,Harwood Heights,60706,C055
1,Harwood Heights,60706,C056
1,Harwood Heights,60714,C018
1,Harwood Heights,60714,C032
1,Harwood Heights,60714,C037
2,Downtown Des Moines Sarpinos,50265,C001
2,Downtown Des Moines Sarpinos,50265,C002
2,Downtown Des Moines Sarpinos,50265,C003
2,Downtown Des Moines Sarpinos,50265,C004
2,Downtown Des Moines Sarpinos,50265,C007
2,Downtown Des Moines Sarpinos,50265,C008
2,Downtown Des Moines Sarpinos,50265,C009
2,Downtown Des Moines Sarpinos,50265,C011
2,Downtown Des Moines Sarpinos,50265,C013
2,Downtown Des Moines Sarpinos,50265,C023
2,Downtown Des Moines Sarpinos,50265,C037
2,Downtown Des Moines Sarpinos,50265,C050
2,Downtown Des Moines Sarpinos,50265,C055
2,Downtown Des Moines Sarpinos,50265,C065
2,Downtown Des Moines Sarpinos,50265,C068
2,Downtown Des Moines Sarpinos,50265,R006
2,Downtown Des Moines Sarpinos,50266,C015
2,Downtown Des Moines Sarpinos,50266,C017
2,Downtown Des Moines Sarpinos,50309,B050
2,Downtown Des Moines Sarpinos,50309,C007
2,Downtown Des Moines Sarpinos,50309,C010
2,Downtown Des Moines Sarpinos,50309,C013
2,Downtown Des Moines Sarpinos,50309,C014
2,Downtown Des Moines Sarpinos,50309,C017
2,Downtown Des Moines Sarpinos,50309,C035
2,Downtown Des Moines Sarpinos,50309,C040
2,Downtown Des Moines Sarpinos,50309,C042
2,Downtown Des Moines Sarpinos,50309,C082
2,Downtown Des Moines Sarpinos,50309,C093
2,Downtown Des Moines Sarpinos,50309,C095
2,Downtown Des Moines Sarpinos,50309,C099
2,Downtown Des Moines Sarpinos,50309,C100
2,Downtown Des Moines Sarpinos,50310,C021
2,Downtown Des Moines Sarpinos,50311,C065
2,Downtown Des Moines Sarpinos,50311,C070
2,Downtown Des Moines Sarpinos,50311,C071
2,Downtown Des Moines Sarpinos,50311,C084
2,Downtown Des Moines Sarpinos,50311,C091
2,Downtown Des Moines Sarpinos,50311,C093
2,Downtown Des Moines Sarpinos,50312,C001
2,Downtown Des Moines Sarpinos,50312,C002
2,Downtown Des Moines Sarpinos,50312,C005
2,Downtown Des Moines Sarpinos,50312,C010
2,Downtown Des Moines Sarpinos,50312,C013
2,Downtown Des Moines Sarpinos,50312,C014
2,Downtown Des Moines Sarpinos,50312,C016
2,Downtown Des Moines Sarpinos,50312,C030
2,Downtown Des Moines Sarpinos,50312,C065
2,Downtown Des Moines Sarpinos,50312,C075
2,Downtown Des Moines Sarpinos,50312,C095
2,Downtown Des Moines Sarpinos,50312,C096
2,Downtown Des Moines Sarpinos,50312,C097
2,Downtown Des Moines Sarpinos,50312,C100
2,Downtown Des Moines Sarpinos,50314,C001
2,Downtown Des Moines Sarpinos,50314,C002
2,Downtown Des Moines Sarpinos,50314,C004
2,Downtown Des Moines Sarpinos,50314,C006
2,Downtown Des Moines Sarpinos,50314,C007
2,Downtown Des Moines Sarpinos,50314,C025
2,Downtown Des Moines Sarpinos,50314,C034
2,Downtown Des Moines Sarpinos,50314,C037
2,Downtown Des Moines Sarpinos,50314,C071
2,Downtown Des Moines Sarpinos,50314,C072
2,Downtown Des Moines Sarpinos,50314,C082
2,Downtown Des Moines Sarpinos,50315,B001
2,Downtown Des Moines Sarpinos,50315,B002
2,Downtown Des Moines Sarpinos,50315,B003
2,Downtown Des Moines Sarpinos,50315,B004
2,Downtown Des Moines Sarpinos,50315,B005
2,Downtown Des Moines Sarpinos,50315,B006
2,Downtown Des Moines Sarpinos,50315,B007
2,Downtown Des Moines Sarpinos,50315,B008
2,Downtown Des Moines Sarpinos,50315,B009
2,Downtown Des Moines Sarpinos,50315,B010
2,Downtown Des Moines Sarpinos,50315,B015
2,Downtown Des Moines Sarpinos,50315,B016
2,Downtown Des Moines Sarpinos,50315,B020
2,Downtown Des Moines Sarpinos,50315,C059
2,Downtown Des Moines Sarpinos,50315,C070
2,Downtown Des Moines Sarpinos,50315,C073
2,Downtown Des Moines Sarpinos,50315,C077
2,Downtown Des Moines Sarpinos,50315,C079
2,Downtown Des Moines Sarpinos,50315,C080
2,Downtown Des Moines Sarpinos,50315,C081
2,Downtown Des Moines Sarpinos,50315,C082
2,Downtown Des Moines Sarpinos,50315,C085
2,Downtown Des Moines Sarpinos,50315,C097
2,Downtown Des Moines Sarpinos,50316,C001
2,Downtown Des Moines Sarpinos,50316,C002
2,Downtown Des Moines Sarpinos,50316,C003
2,Downtown Des Moines Sarpinos,50316,C006
2,Downtown Des Moines Sarpinos,50316,C011
2,Downtown Des Moines Sarpinos,50316,C013
2,Downtown Des Moines Sarpinos,50316,C015
2,Downtown Des Moines Sarpinos,50317,C046
2,Downtown Des Moines Sarpinos,50318,B000
2,Downtown Des Moines Sarpinos,50318,C000
