STORE_NUMBER,STORE_NAME,ZIP,CARRIER_ROUTE
15,Harwood Heights,60007,C037
15,Harwood Heights,60018,C015
15,Harwood Heights,60018,C016
15,Harwood Heights,60068,C004
15,Harwood Heights,60068,C007
15,Harwood Heights,60068,C008
15,Harwood Heights,60068,C009
15,Harwood Heights,60068,C010
15,Harwood Heights,60068,C011
15,Harwood Heights,60068,C013
15,Harwood Heights,60068,C014
15,Harwood Heights,60068,C016
15,Harwood Heights,60068,C021
15,Harwood Heights,60068,C026
15,Harwood Heights,60068,C033
15,Harwood Heights,60068,C036
15,Harwood Heights,60068,C038
15,Harwood Heights,60068,C041
15,Harwood Heights,60068,C053
15,Harwood Heights,60077,C061
15,Harwood Heights,60106,C011
15,Harwood Heights,60176,B001
15,Harwood Heights,60176,B002
15,Harwood Heights,60176,B004
15,Harwood Heights,60176,C000
15,Harwood Heights,60176,C041
15,Harwood Heights,60176,C042
15,Harwood Heights,60176,C043
15,Harwood Heights,60176,C044
15,Harwood Heights,60176,C046
15,Harwood Heights,60176,C048
15,Harwood Heights,60176,C049
15,Harwood Heights,60176,C050
15,Harwood Heights,60191,B001
15,Harwood Heights,60191,B002
15,Harwood Heights,60191,B003
15,Harwood Heights,60191,B004
15,Harwood Heights,60191,B007
15,Harwood Heights,60191,C013
15,Harwood Heights,60630,B011
15,Harwood Heights,60630,C024
15,Harwood Heights,60630,C027
15,Harwood Heights,60630,C028
15,Harwood Heights,60630,C029
15,Harwood Heights,60630,C030
15,Harwood Heights,60630,C032
15,Harwood Heights,60630,C033
15,Harwood Heights,60630,C034
15,Harwood Heights,60630,C035
15,Harwood Heights,60630,C036
15,Harwood Heights,60630,C037
15,Harwood Heights,60630,C040
15,Harwood Heights,60630,C042
15,Harwood Heights,60630,C048
15,Harwood Heights,60631,B001
15,Harwood Heights,60631,B006
15,Harwood Heights,60631,B008
15,Harwood Heights,60631,B010
15,Harwood Heights,60631,C001
15,Harwood Heights,60631,C002
15,Harwood Heights,60631,C004
15,Harwood Heights,60631,C005
15,Harwood Heights,60631,C006
15,Harwood Heights,60631,C008
15,Harwood Heights,60631,C010
15,Harwood Heights,60631,C011
15,Harwood Heights,60631,C012
15,Harwood Heights,60631,C013
15,Harwood Heights,60631,C014
