STORE_NUMBER,STORE_NAME,ZIP,CARRIER_ROUTE
95,West Saint Paul,55075,B001
95,West Saint Paul,55075,B002
95,West Saint Paul,55075,B003
95,West Saint Paul,55075,B004
95,West Saint Paul,55075,B005
95,West Saint Paul,55075,B006
95,West Saint Paul,55075,B007
95,West Saint Paul,55075,B008
95,West Saint Paul,55075,B009
95,West Saint Paul,55075,B010
95,West Saint Paul,55075,C001
95,West Saint Paul,55075,C002
95,West Saint Paul,55075,C003
95,West Saint Paul,55075,C004
95,West Saint Paul,55075,C005
95,West Saint Paul,55075,C007
95,West Saint Paul,55075,C009
95,West Saint Paul,55075,C011
95,West Saint Paul,55075,C012
95,West Saint Paul,55075,C013
95,West Saint Paul,55075,C021
95,West Saint Paul,55075,C030
95,West Saint Paul,55075,C031
95,West Saint Paul,55075,C034
95,West Saint Paul,55075,C044
95,West Saint Paul,55075,C045
95,West Saint Paul,55075,G000
95,West Saint Paul,55076,B011
95,West Saint Paul,55076,B012
95,West Saint Paul,55076,B013
95,West Saint Paul,55076,B014
95,West Saint Paul,55076,B015
95,West Saint Paul,55076,B016
95,West Saint Paul,55076,C008
95,West Saint Paul,55076,C019
95,West Saint Paul,55076,C022
95,West Saint Paul,55076,C023
95,West Saint Paul,55076,C025
95,West Saint Paul,55076,C028
95,West Saint Paul,55076,C029
95,West Saint Paul,55076,C032
95,West Saint Paul,55076,C035
95,West Saint Paul,55076,C037
95,West Saint Paul,55076,C039
95,West Saint Paul,55076,C040
95,West Saint Paul,55076,C043
95,West Saint Paul,55076,C044
95,West Saint Paul,55076,C047
95,West Saint Paul,55101,B003
95,West Saint Paul,55101,B005
95,West Saint Paul,55101,B013
95,West Saint Paul,55101,B014
95,West Saint Paul,55101,B015
95,West Saint Paul,55101,B016
95,West Saint Paul,55101,B017
95,West Saint Paul,55101,B018
95,West Saint Paul,55101,B020
95,West Saint Paul,55101,B021
95,West Saint Paul,55101,B022
95,West Saint Paul,55101,B023
95,West Saint Paul,55101,B024
95,West Saint Paul,55101,B025
95,West Saint Paul,55101,C001
95,West Saint Paul,55101,C002
95,West Saint Paul,55101,C004
95,West Saint Paul,55101,C005
95,West Saint Paul,55101,C006
95,West Saint Paul,55101,C011
95,West Saint Paul,55101,C012
95,West Saint Paul,55101,C013
95,West Saint Paul,55101,C014
95,West Saint Paul,55101,C015
95,West Saint Paul,55101,G000
95,West Saint Paul,55107,B001
95,West Saint Paul,55107,B002
95,West Saint Paul,55107,B003
95,West Saint Paul,55107,B004
95,West Saint Paul,55107,B005
95,West Saint Paul,55107,B006
95,West Saint Paul,55107,C001
95,West Saint Paul,55107,C003
95,West Saint Paul,55107,C004
95,West Saint Paul,55107,C006
95,West Saint Paul,55107,C007
95,West Saint Paul,55107,C008
95,West Saint Paul,55107,C009
95,West Saint Paul,55107,C010
95,West Saint Paul,55107,C011
95,West Saint Paul,55107,C012
95,West Saint Paul,55107,C013
95,West Saint Paul,55107,C014
95,West Saint Paul,55107,C015
95,West Saint Paul,55118,B001
95,West Saint Paul,55118,B002
95,West Saint Paul,55118,B003
95,West Saint Paul,55118,B004
95,West Saint Paul,55118,B005
95,West Saint Paul,55118,B006
95,West Saint Paul,55118,C001
95,West Saint Paul,55118,C002
95,West Saint Paul,55118,C003
95,West Saint Paul,55118,C004
95,West Saint Paul,55118,C005
95,West Saint Paul,55118,C006
95,West Saint Paul,55118,C007
95,West Saint Paul,55118,C008
95,West Saint Paul,55118,C009
95,West Saint Paul,55118,C010
95,West Saint Paul,55118,C011
95,West Saint Paul,55118,C012
95,West Saint Paul,55118,C013
95,West Saint Paul,55118,C015
95,West Saint Paul,55118,C016
95,West Saint Paul,55118,C017
95,West Saint Paul,55118,C018
95,West Saint Paul,55118,C019
95,West Saint Paul,55118,C020
95,West Saint Paul,55118,C021
95,West Saint Paul,55118,C022
95,West Saint Paul,55118,C023
95,West Saint Paul,55118,C024
95,West Saint Paul,55118,C025
95,West Saint Paul,55118,C026
95,West Saint Paul,55118,C027
95,West Saint Paul,55118,C031
95,West Saint Paul,55118,C032
95,West Saint Paul,55120,C003
95,West Saint Paul,55120,C008
95,West Saint Paul,55120,C009
95,West Saint Paul,55120,C041
95,West Saint Paul,55120,C069
