zip9,count
606131908,13
606131251,10
606132911,10
606133723,10
606402816,10
606131204,9
606132807,9
606133802,9
606405527,9
606131203,8
606131210,8
606131804,8
606131901,8
606132906,8
606133609,8
606133620,8
606133715,8
606133801,8
606183904,8
606251917,8
606402607,8
606402609,8
606402817,8
606402820,8
606404710,8
606405531,8
606604229,8
606131105,7
606131222,7
606131308,7
606131805,7
606131912,7
606131917,7
606132716,7
606132811,7
606132916,7
606133504,7
606133707,7
606133813,7
606133916,7
606182924,7
606402103,7
606402604,7
606402704,7
606403602,7
606405416,7
606601307,7
606601907,7
606602512,7
606602516,7
606603306,7
606603443,7
606603655,7
606603722,7
606131301,6
606131659,6
606131828,6
606131833,6
606131913,6
606131924,6
606132102,6
606132309,6
606132713,6
606132819,6
606132923,6
606133107,6
606133724,6
606134102,6
606135318,6
606181512,6
606251305,6
606251306,6
606251501,6
606251908,6
606252005,6
606252708,6
606402402,6
606403502,6
606404007,6
606404619,6
606404624,6
606405408,6
606405409,6
606405529,6
606405530,6
606405613,6
606406109,6
606595137,6
606601913,6
606603415,6
606603448,6
606131214,5
606131302,5
606131310,5
606131315,5
606131326,5
606131404,5
606131823,5
606131902,5
606131980,5
606132262,5
606132263,5
606132265,5
606132401,5
606132402,5
606132522,5
606132734,5
606132735,5
606132823,5
606132914,5
606133108,5
606133527,5
606133601,5
606133605,5
606133617,5
606133704,5
606133716,5
606133722,5
606133803,5
606133806,5
606133811,5
606133821,5
606133921,5
606134101,5
606134312,5
606134348,5
606181502,5
606182813,5
606182925,5
606183914,5
606183924,5
606251101,5
606251122,5
606251316,5
606251517,5
606251807,5
606251816,5
606251923,5
606252116,5
606252606,5
606252813,5
606252907,5
606253005,5
606264714,5
606265109,5
606401026,5
606401105,5
606401809,5
606402105,5
606402106,5
606402208,5
606402218,5
606402606,5
606402661,5
606402813,5
606402828,5
606402902,5
606402903,5
606402910,5
606403412,5
606403505,5
606403705,5
606404903,5
606405031,5
606405513,5
606406006,5
606406163,5
606406976,5
606407014,5
606572016,5
606601407,5
606601908,5
606602319,5
606602670,5
606603511,5
606604016,5
606604203,5
606604204,5
606604208,5
606604209,5
606604218,5
606604219,5
606131012,4
606131017,4
606131020,4
606131091,4
606131206,4
606131208,4
606131305,4
606131316,4
606131381,4
606131408,4
606131427,4
606131434,4
606131460,4
606131515,4
606131614,4
606131655,4
606131689,4
606131709,4
606131712,4
606131735,4
606131829,4
606131939,4
606131953,4
606132001,4
606132222,4
606132286,4
606132351,4
606132414,4
606132503,4
606132708,4
606132809,4
606132903,4
606132912,4
606132913,4
606133002,4
606133008,4
606133013,4
606133119,4
606133123,4
606133171,4
606133177,4
606133194,4
606133309,4
606133434,4
606133487,4
606133505,4
606133521,4
606133603,4
606133604,4
606133610,4
606133616,4
606133618,4
606133621,4
606133622,4
606133632,4
606133634,4
606133671,4
606133701,4
606133810,4
606133815,4
606133816,4
606133817,4
606133819,4
606133911,4
606134318,4
606134658,4
606135314,4
606135701,4
606136504,4
606181603,4
606181621,4
606182802,4
606182810,4
606183718,4
606183921,4
606186112,4
606186124,4
606186135,4
606186215,4
606251006,4
606251109,4
606251205,4
606251307,4
606251314,4
606251411,4
606251423,4
606251812,4
606251837,4
606252001,4
606252539,4
606252724,4
606252814,4
606252925,4
606252935,4
606253008,4
606253021,4
606254192,4
606258130,4
606264323,4
606265116,4
606265308,4
606265314,4
606401028,4
606401202,4
606401410,4
606401703,4
606402006,4
606402027,4
606402104,4
606402116,4
606402214,4
606402597,4
606402608,4
606402613,4
606402622,4
606402700,4
606402720,4
606402743,4
606402812,4
606402830,4
606402909,4
606403090,4
606403225,4
606403307,4
606403503,4
606403559,4
606403709,4
606403755,4
606403810,4
606403927,4
606404005,4
606404514,4
606404801,4
606404805,4
606404914,4
606405112,4
606405116,4
606405209,4
606405302,4
606405305,4
606405404,4
606405405,4
606405511,4
606405519,4
606405821,4
606405904,4
606405907,4
606405916,4
606406004,4
606406102,4
606406977,4
606406978,4
606407412,4
606571421,4
606571826,4
606593006,4
606595030,4
606595118,4
606601304,4
606601317,4
606601323,4
606601410,4
606601819,4
606601912,4
606602014,4
606602130,4
606602307,4
606602945,4
606603034,4
606603109,4
606603303,4
606603440,4
606603450,4
606603721,4
606604103,4
606604215,4
606604216,4
606604226,4
606604624,4
606131009,3
606131010,3
606131014,3
606131019,3
606131022,3
606131225,3
606131226,3
606131230,3
606131320,3
606131324,3
606131334,3
606131346,3
606131368,3
606131411,3
606131470,3
606131571,3
606131595,3
606131631,3
606131651,3
606131654,3
606131657,3
606131669,3
606131688,3
606131716,3
606131719,3
606131722,3
606131730,3
606131744,3
606131801,3
606131808,3
606131820,3
606131827,3
606131832,3
606131842,3
606131859,3
606131871,3
606131898,3
606131914,3
606131918,3
606131959,3
606131981,3
606132002,3
606132038,3
606132044,3
606132154,3
606132176,3
606132227,3
606132233,3
606132264,3
606132276,3
606132297,3
606132316,3
606132320,3
606132322,3
606132328,3
606132348,3
606132406,3
606132408,3
606132447,3
606132508,3
606132513,3
606132546,3
606132604,3
606132698,3
606132706,3
606132715,3
606132719,3
606132724,3
606132729,3
606132733,3
606132812,3
606132813,3
606132904,3
606132905,3
606132910,3
606132915,3
606132918,3
606133001,3
606133020,3
606133118,3
606133185,3
606133201,3
606133219,3
606133224,3
606133232,3
606133331,3
606133355,3
606133361,3
606133365,3
606133406,3
606133429,3
