GDP    UFA	M2	   TIE      SHI    UGDP  DRR     RUR    GNS    GGD  CPI
8440.2 2454.19 52974.21   1994.12  1149.8  8794  827.98  3.1  40.19  962.30  438.4
8967.7 2451.91 53616.11   2151.63  1357.8  9354  827.93  3.1  38.012  1238.61  432.2
9921.4 2491.58 54003.30   2915.42  2055.8  9952  827.81  3.1  36.83  1631.57  434.0
10965.5 2617.96 54211.59   3194.90  1641.4  10286  827.83  3.6  37.59  1942.09  437.0
12033.2 2739.08 54330.99   3741.92  1364.9  10642  827.91  4.0  40.30  2278.69  433.5
13582.2 2969.18 55522.46   5145.66  1513.6  11142  827.88  4.3  44.00  2613.89  438.7
15987.8 3623.90 58620.28   7042.14  1275.4  11868  827.90  4.2  46.82  2963.35  455.8 
18386.8 3945.09 75096.48   8687.31  1171.6  12638  807.10  4.2  48.04  3126.41  464.0
21192.3 4081.08 93472.36   10774.66  2728.2  13399  781.23  4.1  51.55  3501.53  471.0
25730.6 4889.30 117413.90   13344.61  5320.0  14062  730.41  4.0  51.87  5207.47  493.6
31404.5 5800.22 148167.20   16474.42  1834.9  14369  683.21  4.2  53.17  5327.15  522.7
34090.3 6036.10 194138.60   13116.28  3265.0  14119  683.41  4.3  53.47  6023.77  519.0
40151.3 6684.97 241415.00   18204.74  2759.2  14660 662.27  4.1  53.36  13463.64  534.0
47156.4 6952.37 301933.00   23049.1  2177.5  14916  630.09  4.0  53.81  12317.48  563.0
