"ID","COMMODITY_TYPE","YEAR","SUPPLY_BEG_STOCKS","SUPLY_PRODUCTION","SUPPLY_IMPORTS","SUPPLY_TOTAL","DSPRNCE_FD_ALCH_INDUS","DSPRNCE_FEEDUSE","DSPRNCE_DOMESTIC","DSPRNCE_EXPORTS","DSPRNCE_TOTALS","STOCK_ENDINGS"
1,"Corn",1960,11,100,13,124,55,52,109,7,116,9
2,"Corn",1961,9,116,17,143,64,55,122,10,131,14
3,"Corn",1962,14,116,20,150,68,58,126,10,136,14
4,"Corn",1963,14,115,22,151,64,63,127,10,137,14
5,"Corn",1964,14,127,21,162,67,71,141,10,151,14
6,"Corn",1965,14,121,25,161,68,69,140,11,151,12
7,"Corn",1966,12,144,25,182,73,76,151,15,165,18
8,"Corn",1967,18,139,28,185,73,81,155,14,169,17
9,"Corn",1968,17,139,28,185,74,82,155,14,168,15
10,"Corn",1969,15,151,28,194,79,84,166,16,182,16
11,"Corn",1970,16,163,28,206,86,82,172,19,191,19
12,"Corn",1971,19,165,33,217,86,95,184,16,200,20
13,"Corn",1972,20,160,38,218,87,102,192,9,201,20
14,"Corn",1973,20,186,45,251,95,113,211,16,228,26
15,"Corn",1974,26,180,40,247,96,106,204,13,217,32
16,"Corn",1975,32,191,52,275,103,122,228,13,241,36
17,"Corn",1976,36,196,53,286,111,121,235,14,249,39
18,"Corn",1977,39,200,58,298,112,132,247,13,260,41
19,"Corn",1978,41,208,65,313,115,138,254,12,266,48
20,"Corn",1979,48,224,75,348,115,161,274,11,285,59
21,"Corn",1980,60,240,74,374,116,172,294,20,313,67
22,"Corn",1981,67,236,72,375,117,178,291,17,308,63
23,"Corn",1982,63,231,67,360,109,177,279,13,293,60
24,"Corn",1983,60,242,58,361,112,173,287,13,300,63
25,"Corn",1984,63,263,66,393,112,185,298,20,318,76
26,"Corn",1985,76,254,53,383,104,180,286,24,310,75
27,"Corn",1986,75,266,52,394,110,186,299,17,316,81
28,"Corn",1987,81,270,57,408,108,195,305,16,320,89
29,"Corn",1988,89,275,66,431,111,207,320,17,337,96
30,"Corn",1989,96,270,74,440,116,214,328,12,340,99
31,"Corn",1990,99,280,58,438,119,201,320,15,335,103
32,"Corn",1991,103,303,63,468,121,212,332,22,354,113
33,"Corn",1992,111,295,60,466,121,215,339,21,360,109
34,"Corn",1993,109,315,56,480,124,223,349,25,374,108
35,"Corn",1994,108,304,69,481,123,233,353,11,364,114
36,"Corn",1995,114,328,65,507,125,246,376,14,390,122
37,"Corn",1996,122,358,65,545,128,254,382,20,402,144
38,"Corn",1997,144,341,63,547,126,263,388,25,414,134
39,"Corn",1998,134,358,66,558,129,266,396,17,412,146
40,"Corn",1999,146,369,71,585,129,280,413,26,439,151
41,"Corn",2000,151,340,75,565,131,280,413,27,440,127
42,"Corn",2001,127,360,71,559,133,288,425,26,451,111
43,"Corn",2002,111,376,75,562,134,293,428,36,464,99
44,"Corn",2003,99,371,76,547,138,300,438,29,467,80
45,"Corn",2004,80,417,76,573,143,321,466,31,497,78
46,"Corn",2005,78,418,80,576,151,324,475,27,502,75
47,"Corn",2006,75,449,90,614,157,339,500,40,540,78
48,"Corn",2007,78,464,98,640,162,350,513,37,550,90
49,"Corn",2008,90,494,82,666,173,351,526,37,563,105
50,"Corn",2009,105,493,89,687,176,361,545,46,591,103
51,"Corn",2010,103,520,92,715,187,382,567,45,612,101
52,"Corn",2011,101,575,99,776,196,393,606,78,684,109
53,"Corn",2012,109,595,95,800,197,409,602,77,678,117
54,"Corn",2013,117,628,116,861,204,441,653,76,729,140
55,"Corn",2014,140,627,114,881,209,461,671,72,743,139
56,"Sorghum",1960,4,25,2,32,22,5,27,1,28,4
57,"Sorghum",1961,4,26,3,33,22,5,28,1,29,5
58,"Sorghum",1962,5,29,4,37,25,5,30,1,31,6
59,"Sorghum",1963,6,29,4,39,24,8,32,1,33,6
60,"Sorghum",1964,6,29,4,39,24,9,33,1,34,6
61,"Sorghum",1965,6,29,6,41,24,11,37,2,39,5
62,"Sorghum",1966,5,31,9,44,24,13,35,1,36,7
63,"Sorghum",1967,7,34,6,47,26,12,38,2,39,8
64,"Sorghum",1968,8,33,4,45,25,11,37,2,39,6
65,"Sorghum",1969,6,36,5,48,27,12,40,3,43,6
66,"Sorghum",1970,6,38,7,51,26,15,42,4,46,6
67,"Sorghum",1971,6,36,6,47,26,14,39,2,41,6
68,"Sorghum",1972,6,34,7,46,23,14,39,3,43,5
69,"Sorghum",1973,5,42,9,57,27,19,48,5,52,6
70,"Sorghum",1974,6,45,8,59,30,18,49,4,52,7
71,"Sorghum",1975,7,45,9,61,31,18,51,5,56,7
72,"Sorghum",1976,7,44,12,63,29,22,51,5,56,7
73,"Sorghum",1977,7,45,11,62,28,21,50,6,56,7
74,"Sorghum",1978,7,45,11,63,29,22,50,5,55,7
75,"Sorghum",1979,7,41,12,61,29,22,50,3,53,7
76,"Sorghum",1980,7,45,13,64,26,23,51,7,57,8
77,"Sorghum",1981,8,48,14,70,28,28,56,7,63,7
78,"Sorghum",1982,7,44,12,63,27,25,50,6,57,6
79,"Sorghum",1983,6,46,13,65,25,27,52,6,58,7
80,"Sorghum",1984,7,44,13,63,26,26,52,5,57,6
81,"Sorghum",1985,6,42,9,57,24,24,47,4,52,5
82,"Sorghum",1986,5,41,8,54,24,22,46,3,49,4
83,"Sorghum",1987,4,38,8,51,24,21,45,2,48,3
84,"Sorghum",1988,3,40,11,54,26,21,46,2,48,5
85,"Sorghum",1989,5,40,9,53,28,19,48,2,49,5
86,"Sorghum",1990,5,39,8,51,26,19,46,2,48,4
87,"Sorghum",1991,4,39,10,53,24,23,46,2,48,5
88,"Sorghum",1992,5,43,9,57,28,21,50,2,52,5
89,"Sorghum",1993,5,42,7,54,29,20,49,2,51,3
90,"Sorghum",1994,3,41,6,50,27,20,47,1,48,2
91,"Sorghum",1995,2,44,6,52,28,21,49,2,50,2
92,"Sorghum",1996,2,50,6,58,29,23,53,1,54,4
93,"Sorghum",1997,4,42,7,53,25,23,48,2,49,4
94,"Sorghum",1998,4,47,7,58,27,25,52,1,53,5
95,"Sorghum",1999,5,44,8,57,27,25,52,2,54,3
96,"Sorghum",2000,3,43,8,55,27,23,50,1,52,3
97,"Sorghum",2001,3,47,7,57,30,23,53,1,54,3
98,"Sorghum",2002,3,45,5,54,28,21,50,1,51,3
99,"Sorghum",2003,3,50,7,60,31,23,54,1,55,5
100,"Sorghum",2004,5,47,5,57,31,22,53,1,53,3
101,"Sorghum",2005,3,50,5,59,34,21,55,0,55,4
102,"Sorghum",2006,4,50,5,58,34,19,54,2,56,3
103,"Sorghum",2007,3,55,10,68,35,24,60,3,63,5
104,"Sorghum",2008,5,53,6,64,35,22,57,2,59,5
105,"Sorghum",2009,5,48,6,59,31,22,53,2,55,4
106,"Sorghum",2010,4,52,7,63,31,24,55,3,58,5
107,"Sorghum",2011,5,52,5,62,32,21,55,5,59,4
108,"Sorghum",2012,4,51,7,62,32,22,53,4,56,4
109,"Sorghum",2013,4,50,7,61,31,23,55,3,57,5
110,"Sorghum",2014,5,54,7,65,33,24,57,3,61,5
111,"Barley",1960,9,70,6,84,28,43,71,4,76,9
112,"Barley",1961,9,66,7,82,28,40,68,5,74,8
113,"Barley",1962,8,78,5,91,31,47,78,4,81,9
114,"Barley",1963,9,81,7,97,28,51,80,6,86,12
115,"Barley",1964,12,88,7,107,30,54,83,6,89,17
116,"Barley",1965,17,84,7,109,31,60,91,7,98,12
117,"Barley",1966,12,94,6,112,29,65,94,6,100,13
118,"Barley",1967,13,97,7,116,30,65,96,6,102,15
119,"Barley",1968,15,106,7,127,34,69,104,7,111,17
120,"Barley",1969,17,109,8,134,32,76,109,9,118,16
121,"Barley",1970,16,111,11,138,33,81,115,10,124,14
122,"Barley",1971,14,121,14,149,34,86,120,14,134,16
123,"Barley",1972,16,123,12,151,38,87,125,11,135,15
124,"Barley",1973,15,137,8,161,39,100,138,6,144,16
125,"Barley",1974,16,143,7,166,39,102,141,7,148,18
126,"Barley",1975,18,128,10,156,38,93,131,9,140,15
127,"Barley",1976,15,158,10,184,41,115,155,9,165,19
128,"Barley",1977,19,148,9,176,41,110,152,9,160,16
129,"Barley",1978,16,166,9,190,42,119,163,10,173,19
130,"Barley",1979,19,145,12,177,39,114,151,9,160,15
131,"Barley",1980,15,150,12,177,43,108,151,11,162,15
132,"Barley",1981,15,139,14,169,39,105,144,12,156,13
133,"Barley",1982,13,150,12,175,39,108,147,11,158,17
134,"Barley",1983,17,147,14,179,37,116,155,14,168,11
135,"Barley",1984,11,157,18,187,37,116,153,16,169,18
136,"Barley",1985,18,161,17,196,37,121,156,16,172,22
137,"Barley",1986,22,165,19,206,37,126,164,17,180,27
138,"Barley",1987,24,164,19,207,40,124,164,17,181,27
139,"Barley",1988,27,158,18,202,40,118,159,17,176,27
140,"Barley",1989,27,157,18,203,40,122,162,17,179,24
141,"Barley",1990,24,170,19,213,40,126,167,19,186,29
142,"Barley",1991,29,160,16,204,40,115,158,17,175,32
