Age	  Education	 Income	     HomeVal     Wealth     Balance
35.9    14.8    91033.00   183104.00    220741.00   38517.00
37.7    13.8    86748.00   163843.00    223152.00   40618.00
36.8    13.8    72245.00   142732.00    176926.00   35206.00
35.3    13.2    70639.00   145024.00    166260.00   33434.00
35.3    13.2    64879.00   135951.00    148868.00   28162.00
34.8    13.7    75591.00   155334.00    188310.00   36708.00
39.3    14.4    80615.00   181265.00    201743.00   38766.00
36.6    13.9    76507.00   149880.00    189727.00   34811.00
35.7    16.1   107935.00   276139.00    211085.00   41032.00
40.5    15.1    82557.00   182088.00    220782.00   41742.00
37.9    14.2    58294.00   123500.00    132432.00   29950.00
43.1    15.8    88041.00   194369.00    267556.00   51107.00
37.7    12.9    64597.00   119305.00    186156.00   34936.00
36.0    13.1    64894.00   141011.00    160017.00   32387.00
40.4    16.1    61091.00   194928.00    113559.00   32150.00
33.8    13.6    76771.00   159531.00    197264.00   37996.00
36.4    13.5    55609.00   123085.00    105582.00   24672.00
37.7    12.8    74091.00   143750.00    217869.00   37603.00
36.2    12.9    53713.00   112649.00    117441.00   26785.00
39.1    12.7    60262.00   126928.00    161322.00   32576.00
39.4    16.1   111548.00   230893.00    331009.00   56569.00
36.1    12.8    48600.00   105737.00    106671.00   26144.00
35.3    12.7    51419.00   104149.00    111168.00   24558.00
37.5    12.8    51182.00   106898.00     88370.00   23584.00
34.4    12.8    60753.00    95869.00    143115.00   26773.00
33.7    13.8    64601.00   103737.00    134223.00   27877.00
40.4    13.2    62164.00   114257.00    144038.00   28507.00
38.9    12.7    46607.00    94576.00    114799.00   27096.00
34.3    12.7    61446.00   122619.00    161538.00   28018.00
38.7    12.8    62024.00   134430.00    149351.00   31283.00
33.4    12.6    54986.00   105647.00    126929.00   24671.00
35.0    12.0    48182.00   114436.00    102732.00   25280.00
38.1    12.7    47388.00    92820.00    118016.00   24890.00
34.9    12.5    55273.00   102468.00    126959.00   26114.00
36.1    12.9    53892.00    92968.00    129176.00   27570.00
32.7    12.6    47923.00   104539.00     88384.00   20826.00
37.1    12.5    46176.00    92654.00    101964.00   23858.00
23.5    13.6    33088.00   105430.00     44223.00   20834.00
38.0    13.6    53890.00   108446.00     95013.00   26542.00
33.6    12.7    57390.00   111836.00    134434.00   27396.00
41.7    13.0    48439.00   100788.00    124474.00   31054.00
36.6    14.1    56803.00   149138.00    101695.00   29198.00
34.9    12.4    52392.00    93875.00    133101.00   24650.00
36.7    12.8    48631.00    95490.00    105202.00   23610.00
38.4    12.5    52500.00   105377.00    139199.00   29706.00
34.8    12.5    42401.00   106478.00     94867.00   21572.00
33.6    12.7    64792.00   116071.00    185714.00   32677.00
37.0    14.1    59842.00   106949.00    135329.00   29347.00
34.4    12.7    65625.00   129688.00    175000.00   29127.00
37.2    12.5    54044.00   108654.00    140726.00   27753.00
35.7    12.6    39707.00    89552.00     80124.00   21345.00
37.8    12.9    45286.00   108431.00     91928.00   28174.00
35.6    12.8    37784.00    92712.00     60721.00   19125.00
35.7    12.4    52284.00    92143.00    146028.00   29763.00
34.3    12.4    42944.00    86192.00     98778.00   22275.00
39.8    13.4    46036.00    99508.00     98343.00   27005.00
36.2    12.3    50357.00    90750.00    126613.00   24076.00
35.1    12.3    45521.00    82720.00    105346.00   23293.00
35.6    16.1    30418.00   139739.00     24999.00   16854.00
40.7    12.7    52500.00    94792.00    147222.00   28867.00
33.5    12.5    41795.00    94456.00     91806.00   21556.00
37.5    12.5    66667.00    78906.00    143750.00   31758.00
37.6    12.9    38596.00    95364.00     54453.00   17939.00
39.1    12.6    44286.00    93103.00    110465.00   22579.00
33.1    12.2    37287.00    75561.00     86591.00   19343.00
36.4    12.9    38184.00    80099.00     76438.00   21534.00
37.3    12.5    47119.00    88958.00    102993.00   22357.00
38.7    13.6    44520.00    96112.00     93915.00   25276.00
36.9    12.7    52838.00   101705.00     75040.00   23077.00
32.7    12.3    34688.00    82870.00     93750.00   20082.00
36.1    12.4    31770.00    74525.00     47446.00   15912.00
39.5    12.8    32994.00    89223.00     50592.00   21145.00
36.5    12.3    33891.00    72739.00     81880.00   18340.00
32.9    12.4    37813.00    86667.00     69643.00   19196.00
29.9    12.3    46528.00    88889.00     96591.00   21798.00
32.1    12.3    30319.00    67083.00     34367.00   13677.00
36.1    13.3    36492.00   172768.00     24999.00   20572.00
35.9    12.4    51818.00    80357.00    135185.00   26242.00
32.7    12.2    35625.00    64737.00     76321.00   17077.00
37.2    12.6    36789.00    86563.00     69764.00   20020.00
38.8    12.3    42750.00    77717.00     95192.00   25385.00
37.5    13.0    30412.00   138911.00     24999.00   20463.00
36.4    12.5    37083.00    70909.00     95833.00   21670.00
42.4    12.6    31563.00    81597.00     71759.00   15961.00
19.5    16.1    15395.00    67500.00     24999.00    5956.00
30.5    12.8    21433.00    83456.00     24999.00   11380.00
33.2    12.3    31250.00    91049.00     52976.00   18959.00
36.7    12.5    31344.00    77541.00     36510.00   16100.00
32.4    12.6    29733.00    60252.00     27531.00   14620.00
36.5    12.4    41607.00    76270.00     98455.00   22340.00
33.9    12.1    32813.00    40313.00     79167.00   26405.00
29.6    12.1    29375.00    52096.00     24999.00   13693.00
37.5    11.1    34896.00    65357.00     81818.00   20586.00
34.0    12.6    20578.00   113239.00     24999.00   14095.00
28.7    12.1    32574.00    50244.00     49662.00   14393.00
36.1    12.2    30589.00    69375.00     48890.00   16352.00
30.6    12.3    26565.00    64038.00     42543.00   17410.00
22.8    12.3    16590.00    67850.00     24999.00   10436.00
30.3    12.2     9354.00    91708.00     24999.00    9904.00
22.0    12.0    14115.00    53923.00     24999.00    9071.00
30.8    11.9    17992.00    46885.00     24999.00   10679.00
35.1    11.0     7741.00    99375.00     24999.00    6207.00

