  # exper:  Experience (years)
# educ:   Education (1=high school, 2=college, 3=advanced degree)
# mgt:    Management Responsability (0=no, 1=yes)
# salary: Salary (dollars)
exper educ mgt salary
    1    1   1  58418
    1    3   0  48870
    1    3   1  78731
    1    2   0  47501
    1    3   0  49539
    2    2   1  87871
    2    2   0  49560
    2    1   0  44352
    2    3   0  51341
    3    2   0  51838
    3    1   1  63045
    3    2   1  89972
    3    3   1  83358
    4    1   0  48066
    4    3   1  85307
    4    3   0  55703
    4    2   0  54242
    5    2   0  55761
    5    3   0  57580
    5    1   1  67213
    6    1   0  51935
    6    3   1  89892
    6    2   0  58262
    6    2   1  96342
    7    1   1  71477
    8    2   0  62321
    8    1   1  73271
    8    3   1  93395
    8    1   0  57037
   10    1   0  60906
   10    2   0  67116
   10    3   1  97563
   10    2   1 100114
   11    2   1 106976
   11    1   0  62565
   12    2   0  71073
   12    3   1 101764
   13    1   0  67318
   13    2   1 110849
   14    2   0  75565
   15    3   1 108134
   16    2   1 117194
   16    2   0  79308
   16    1   0  73603
   17    2   0  80861
   20    1   0  81447
   3     1   0    .
