Value  Sample
35.82    1
29.35    1
36.40    1
29.23    1
33.22    1
32.48    1
37.10    1
32.33    1
30.24    1
29.95    1
26.94    1
33.57    1
25.98    1
25.33    1
26.00    1
34.18    1
36.72    1
28.20    1
27.89    1
22.59    1
26.89    1
25.93    1
30.98    1
28.28    1
25.95    1
28.62    1
28.03    1
33.62    1
29.11    1
23.07    1
33.81    1
25.64    1
40.47    2
43.08    2
32.65    2
43.91    2
30.18    2
32.18    2
18.06    2
25.62    2
34.48    2
38.29    2
29.57    2
41.51    2
40.34    2
41.95    2
38.00    2
17.26    2
30.48    2
35.33    2
40.90    2
35.58    2
32.19    2
31.92    2
43.39    2
33.40    2
36.61    2
32.47    2
29.52    2
41.06    2
36.25    2
28.71    2
44.20    2
37.31    2
28.45    2
40.91    2
28.11    2
