month,day,min,node,mechanism,user,rank,affiliation,net,client,old
5,26,1430,CS132,key,OyzGZVBdM1ny,798,student,219282,559,0
12,4,1176,CS5,password,9KVMONJGZjRmW,489,student,7922,1024,1
9,14,1012,CS5,password,rM5jmzmmX38MD,500,affiliate,12083,1025,1
6,17,958,CS5,password,rM5jmzmmX38MD,500,affiliate,18555,1025,1
8,14,974,CS4,password,rM5jmzmmX38MD,500,affiliate,18555,1025,1
4,25,1069,CS5,password,rM5jmzmmX38MD,500,affiliate,18555,1025,1
4,13,1248,CS4,password,rM5jmzmmX38MD,500,affiliate,18555,1025,1
6,2,330,CS30,key,JNNLwxzBpDw59,42,alum,7922,1026,
8,2,893,CS5,password,rM5jmzmmX38MD,500,affiliate,12083,1026,1
11,4,480,CS123,key,NyyLj4pdnRarb,658,student,7922,1027,
4,13,1190,CS3,password,rM5jmzmmX38MD,500,affiliate,18555,1027,1
9,29,1384,CS3,password,9eKmoYovVrby,57,staff,7922,1028,1
11,29,1312,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,1030,1
8,12,650,CS5,password,9gDr2lVKx29P,611,staff,36535,1033,1
12,4,1176,CS4,password,9KVMONJGZjRmW,489,student,7922,1035,1
8,5,938,CS3,password,rM5jmzmmX38MD,500,affiliate,18555,1035,1
5,3,887,CS109,password,93nP2VBvlX73J,535,student,UCPRIV,1036,1
8,2,1056,CS4,password,rM5jmzmmX38MD,500,affiliate,18555,1038,1
8,14,1063,CS3,password,rM5jmzmmX38MD,500,affiliate,18555,1039,1
6,17,1028,CS3,password,rM5jmzmmX38MD,500,affiliate,18555,1040,1
6,9,889,CS80,password,9ZPX9P86BxLpV,801,student,7922,1041,1
8,4,1191,CS5,password,9gDr2lVKx29P,611,staff,6167,1052,1
10,25,1238,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,1060,1
9,1,946,CS5,password,9QRr8qqJzPG66,23,student,701,1064,1
12,8,1077,CS3,password,9QqJXM2MqKq8y,930,student,UCPRIV,1069,1
12,8,1078,CS3,password,9QqJXM2MqKq8y,930,student,UCPRIV,1071,1
5,28,330,CS30,key,JNNLwxzBpDw59,42,alum,7922,1075,
12,8,1080,CS4,password,9QqJXM2MqKq8y,930,student,UCPRIV,1081,1
7,20,1277,CS5,password,r8XYq2VnGm15m,783,student,6461,1099,1
10,23,1233,CS4,password,rq1G94ZRJJ73,663,student,7922,1099,1
12,8,1084,CS5,password,9QqJXM2MqKq8y,930,student,UCPRIV,1102,1
10,20,994,CS4,password,y2zoqbaB38jVl,124,student,23349,1104,1
12,8,1087,CS4,password,9QqJXM2MqKq8y,930,student,UCPRIV,1110,1
12,7,1276,CS3,password,94La5Xwv8d8GW,258,student,UCPRIV,1110,1
8,15,1011,CS5,password,9JP9K6B2ppm66,74,former_student,3452,1112,1
12,8,1089,CS5,password,9QqJXM2MqKq8y,930,student,UCPRIV,1112,1
12,2,1035,CS4,password,942Xg43r1x3yw,635,student,3549,1124,1
12,8,1101,CS4,password,9QqJXM2MqKq8y,930,student,UCPRIV,1150,1
12,8,1101,CS4,password,9QqJXM2MqKq8y,930,student,UCPRIV,1151,1
5,4,914,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,1157,1
5,12,824,CS13,password,yW4GWojKGyoB,471,student,UCPRIV,1161,1
5,4,918,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,1186,1
11,30,1129,CS5,password,9JYWGK1Y6R4y6,317,student,3549,1188,1
7,19,1001,CS5,password,r8XYq2VnGm15m,783,student,6461,1189,1
5,4,918,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,1189,1
5,4,919,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,1192,1
9,29,1408,CS5,password,9eKmoYovVrby,57,staff,7922,1208,1
8,20,694,CS4,password,93YVxO78mqXMP,329,student,6167,1219,1
8,20,695,CS5,password,93YVxO78mqXMP,329,student,6167,1226,1
9,29,1272,CS3,password,r82DMjN4z93VM,1005,student,20057,1236,1
8,16,609,CS5,password,9gDr2lVKx29P,611,staff,36535,1237,1
10,23,914,CS3,key,9DNwMGKy35JzY,1049,student,6167,1249,
9,29,759,CS18,password,y2Gln3RZRnjQB,148,student,7018,1261,1
4,21,172,CS51,password,9Z338wJMJ4Rgy,259,student,6167,1280,1
7,20,1278,CS5,password,r8XYq2VnGm15m,783,student,6461,1317,1
11,11,684,CS123,password,NyyLj4pdnRarb,658,student,UCPRIV,1321,
5,23,947,CS3,password,XObX4oO1Ol9B8,909,student,UCPRIV,1330,1
7,30,979,CS4,password,9K6MLQyyoNQdN,78,student,6167,1336,1
5,12,1146,CS5,password,9Q2peQ5zerL5Y,550,student,16572,1337,1
11,11,1096,CS5,password,yXQn7R5o8BW6g,998,student,6167,1345,1
6,14,677,CS84,password,Oq1MdqPoaD3x5,843,faculty,22773,1357,1
11,11,1062,CS4,password,yXQn7R5o8BW6g,998,student,6167,1363,1
11,7,686,CS3,password,9Qm3mMVX63ylW,45,alum,174,1366,1
10,1,572,CS3,password,XoVoBRWR34lPD,964,student,UC-INTRA,1367,1
6,14,731,CS84,password,Oq1MdqPoaD3x5,843,faculty,22773,1374,1
7,20,1115,CS5,password,r8XYq2VnGm15m,783,student,6461,1397,1
10,20,1145,CS3,password,yW4GWojKGyoB,471,student,UCPRIV,1425,1
4,5,1207,CS4,password,z1zl5v2JDzmW,637,student,UCPRIV,1437,1
8,5,734,CS4,password,yK13wPDDK4DB,740,student,393355,1451,1
4,13,392,CS4,password,y9gdj5WZnxg,2,faculty,786,1461,1
4,5,1208,CS3,password,z1zl5v2JDzmW,637,student,UCPRIV,1486,1
7,22,650,CS123,password,NyyLj4pdnRarb,658,student,7922,1492,1
4,5,1209,CS59,password,z1zl5v2JDzmW,637,student,UCPRIV,1500,1
5,4,943,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,1501,1
5,4,943,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,1509,1
5,4,943,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,1511,1
10,20,852,CS5,password,Nr81oW4MqdBY3,436,student,7922,1513,1
5,4,944,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,1513,1
5,4,944,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,1515,1
5,10,1383,CS44,password,94ZLXOZ8Z5eaP,316,student,UCPUB,1521,1
5,4,945,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,1526,1
5,4,946,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,1531,1
10,1,587,CS3,password,XoVoBRWR34lPD,964,student,UC-INTRA,1532,1
5,4,946,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,1532,1
10,5,1383,CS5,password,9eKmoYovVrby,57,staff,7922,1541,1
6,12,1187,CS3,password,9K4OqNoqzxV3J,334,student,7922,1542,1
10,5,1381,CS3,password,9eKmoYovVrby,57,staff,7922,1544,1
5,3,905,CS109,password,93nP2VBvlX73J,535,student,UCPRIV,1544,1
5,14,681,CS4,password,9eKmoYovVrby,57,staff,7922,1548,1
5,3,906,CS109,password,93nP2VBvlX73J,535,student,UCPRIV,1549,1
5,4,948,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,1549,1
4,14,453,CS59,password,z1zl5v2JDzmW,637,student,UCPRIV,1551,1
5,4,948,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,1551,1
5,4,948,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,1554,1
8,15,1332,CS4,password,9eKmoYovVrby,57,staff,7922,1556,1
10,5,515,CS5,password,942Xg43r1x3yw,635,student,3549,1557,1
5,4,951,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,1563,1
5,4,951,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,1566,1
5,4,952,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,1570,1
5,4,952,CS84,password,NqLReb8ZVqdqn,622,student,UCPUB,1573,1
5,1,1053,CS5,password,NRV7Oj37oeLBM,262,student,174,1581,1
5,16,536,CS59,password,z1zl5v2JDzmW,637,student,UCPRIV,1583,1
5,6,1334,CS3,password,9KBMzXleGpdv6,89,alum,7922,1593,1
10,5,985,CS4,password,rMq11jJxyaGa3,210,student,19024,1595,1
4,5,1360,CS30,password,94Y81JdJ4qXmW,745,student,UCPUB,1596,1
4,5,1360,CS30,password,94Y81JdJ4qXmW,745,student,UCPUB,1597,1
8,1,330,CS30,key,JNNLwxzBpDw59,42,alum,7922,1617,
