Date,Price
1/3/2000,27.74
1/4/2000,25.4
1/5/2000,25.77
1/6/2000,23.54
1/7/2000,24.66
1/10/2000,24.22
1/11/2000,22.98
1/12/2000,21.61
1/13/2000,23.97
1/14/2000,24.89
1/18/2000,25.76
1/19/2000,26.41
1/20/2000,28.13
1/21/2000,27.58
1/24/2000,26.33
1/25/2000,27.82
1/26/2000,27.31
1/27/2000,27.26
1/28/2000,25.18
1/31/2000,25.71
2/1/2000,24.84
2/2/2000,24.49
2/3/2000,25.6
2/4/2000,26.76
2/7/2000,28.26
2/8/2000,28.46
2/9/2000,27.91
2/10/2000,28.13
2/11/2000,26.95
2/14/2000,28.7
2/15/2000,29.49
2/16/2000,28.28
2/17/2000,28.46
2/18/2000,27.57
2/22/2000,28.2
2/23/2000,28.81
2/24/2000,28.55
2/25/2000,27.35
2/28/2000,28.06
2/29/2000,28.4
3/1/2000,32.29
3/2/2000,30.23
3/3/2000,31.72
3/6/2000,31.15
3/7/2000,30.45
3/8/2000,30.23
3/9/2000,30.29
3/10/2000,31.16
3/13/2000,30.06
3/14/2000,28.31
3/15/2000,28.81
3/16/2000,30.12
3/17/2000,30.97
3/20/2000,30.48
3/21/2000,33.44
3/22/2000,35.73
3/23/2000,35.02
3/24/2000,34.37
3/27/2000,34.58
3/28/2000,34.48
3/29/2000,33.69
3/30/2000,31.16
3/31/2000,33.65
4/3/2000,33.03
4/4/2000,31.55
4/5/2000,32.31
4/6/2000,31.02
4/7/2000,32.65
4/10/2000,30.97
4/11/2000,29.6
4/12/2000,27.07
4/13/2000,28.2
4/14/2000,27.72
4/17/2000,30.69
4/18/2000,31.44
4/19/2000,30.01
4/20/2000,29.46
4/24/2000,29.86
4/25/2000,31.8
4/26/2000,30.06
4/27/2000,31.41
4/28/2000,30.74
5/1/2000,30.8
5/2/2000,29.21
5/3/2000,28.51
5/4/2000,27.43
5/5/2000,28.03
5/8/2000,27.29
5/9/2000,26.13
5/10/2000,24.61
5/11/2000,25.48
5/12/2000,26.67
5/15/2000,25.03
5/16/2000,26.19
5/17/2000,25.12
5/18/2000,24.97
5/19/2000,23.29
5/22/2000,22.29
5/23/2000,21.26
5/24/2000,21.73
5/25/2000,21.63
5/26/2000,21.4
5/30/2000,21.7
5/31/2000,20.82
6/1/2000,22.08
6/2/2000,22.94
6/5/2000,22.63
6/6/2000,23.01
6/7/2000,23.93
6/8/2000,23.49
6/9/2000,23.73
6/12/2000,22.6
6/13/2000,23.42
6/14/2000,22.41
6/15/2000,22.89
6/16/2000,22.6
6/19/2000,23.94
6/20/2000,25.09
6/21/2000,27.57
6/22/2000,26.64
6/23/2000,25.62
6/26/2000,26.83
6/27/2000,25.65
6/28/2000,26.98
6/29/2000,25.4
6/30/2000,25.96
7/3/2000,26.42
7/5/2000,25.59
7/6/2000,25.68
7/7/2000,26.98
7/10/2000,28.31
7/11/2000,28.22
7/12/2000,29.18
7/13/2000,28
7/14/2000,28.59
7/17/2000,28.9
7/18/2000,28.37
7/19/2000,26.11
7/20/2000,27.32
7/21/2000,26.54
7/24/2000,24.13
7/25/2000,24.81
7/26/2000,24.81
7/27/2000,25.77
7/28/2000,23.94
7/31/2000,25.18
8/1/2000,24.44
8/2/2000,23.42
8/3/2000,23.79
8/4/2000,23.48
8/7/2000,23.76
8/8/2000,23.17
8/9/2000,23.54
8/10/2000,23.57
8/11/2000,23.64
8/14/2000,23.32
8/15/2000,23.14
8/16/2000,24.04
8/17/2000,25.49
8/18/2000,24.78
8/21/2000,25.03
8/22/2000,25.62
8/23/2000,26.92
8/24/2000,27.81
8/25/2000,28.15
8/28/2000,28.77
8/29/2000,29.33
8/30/2000,29.49
8/31/2000,30.2
9/1/2000,31.44
9/5/2000,30.95
9/6/2000,28.96
9/7/2000,30.73
9/8/2000,29.18
9/11/2000,28.96
9/12/2000,28.62
9/13/2000,28.74
9/14/2000,28.18
9/15/2000,27.37
9/18/2000,30.06
9/19/2000,29.71
9/20/2000,30.26
9/21/2000,28.1
9/22/2000,25.87
9/25/2000,26.51
9/26/2000,25.49
9/27/2000,24.25
9/28/2000,26.51
9/29/2000,12.76
10/2/2000,12.02
10/3/2000,11.06
10/4/2000,11.71
10/5/2000,10.93
10/6/2000,11
10/9/2000,10.78
10/10/2000,10.34
10/11/2000,9.72
10/12/2000,9.91
10/13/2000,10.93
10/16/2000,10.66
10/17/2000,9.97
10/18/2000,9.97
10/19/2000,9.39
10/20/2000,9.66
10/23/2000,10.1
10/24/2000,9.35
10/25/2000,9.17
10/26/2000,9.17
10/27/2000,9.2
10/30/2000,9.57
10/31/2000,9.69
11/1/2000,10.16
11/2/2000,11.06
11/3/2000,11.03
11/6/2000,10.63
11/7/2000,10.56
11/8/2000,9.94
11/9/2000,10.01
11/10/2000,9.45
11/13/2000,9.6
11/14/2000,10.04
11/15/2000,9.85
11/16/2000,9.42
11/17/2000,9.17
11/20/2000,9.39
11/21/2000,9.32
11/22/2000,9.17
11/24/2000,9.57
11/27/2000,9.26
11/28/2000,8.94
11/29/2000,8.7
11/30/2000,8.18
12/1/2000,8.45
12/4/2000,8.27
12/5/2000,8.43
12/6/2000,7.09
12/7/2000,7.09
12/8/2000,7.46
12/11/2000,7.53
12/12/2000,7.62
12/13/2000,7.43
12/14/2000,7.16
12/15/2000,6.97
12/18/2000,7.06
12/19/2000,6.94
12/20/2000,7.13
12/21/2000,6.97
12/22/2000,7.43
12/26/2000,7.28
12/27/2000,7.34
12/28/2000,7.34
12/29/2000,7.37
1/2/2001,7.37
1/3/2001,8.11
1/4/2001,8.45
1/5/2001,8.11
1/8/2001,8.21
1/9/2001,8.52
1/10/2001,8.21
1/11/2001,8.92
1/12/2001,8.52
1/16/2001,8.48
1/17/2001,8.33
1/18/2001,9.26
1/19/2001,9.66
1/22/2001,9.54
1/23/2001,10.16
1/24/2001,10.16
1/25/2001,9.88
1/26/2001,9.69
1/29/2001,10.75
1/30/2001,10.78
1/31/2001,10.71
2/1/2001,10.47
2/2/2001,10.22
2/5/2001,10.01
2/6/2001,10.47
2/7/2001,10.28
2/8/2001,10.28
2/9/2001,9.48
2/12/2001,9.76
2/13/2001,9.48
2/14/2001,9.66
2/15/2001,9.94
2/16/2001,9.42
2/20/2001,9.07
2/21/2001,9.35
2/22/2001,9.32
2/23/2001,9.32
2/26/2001,9.66
2/27/2001,9.6
2/28/2001,9.04
3/1/2001,9.29
3/2/2001,9.54
3/5/2001,10.1
3/6/2001,10.66
3/7/2001,10.53
3/8/2001,10.31
3/9/2001,10.04
3/12/2001,9.23
3/13/2001,9.69
3/14/2001,10.13
3/15/2001,9.76
3/16/2001,9.72
3/19/2001,10.19
3/20/2001,9.76
3/21/2001,9.97
3/22/2001,10.71
3/23/2001,11.4
3/26/2001,10.79
3/27/2001,11.33
3/28/2001,10.99
3/29/2001,11.17
3/30/2001,10.94
4/2/2001,10.7
4/3/2001,10.03
4/4/2001,9.66
4/5/2001,10.34
4/6/2001,10.2
4/9/2001,10.18
4/10/2001,10.92
4/11/2001,10.8
4/12/2001,11.11
4/16/2001,10.63
4/17/2001,10.11
4/18/2001,11.29
4/19/2001,12.75
4/20/2001,12.41
4/23/2001,12.02
4/24/2001,11.91
4/25/2001,12.25
4/26/2001,12.24
4/27/2001,12.98
4/30/2001,12.63
5/1/2001,12.85
5/2/2001,13.18
5/3/2001,12.37
5/4/2001,12.76
5/7/2001,12.37
5/8/2001,12.18
5/9/2001,11.88
5/10/2001,11.4
5/11/2001,11.32
5/14/2001,11.54
5/15/2001,11.49
5/16/2001,11.94
5/17/2001,11.67
5/18/2001,11.66
5/21/2001,11.68
5/22/2001,11.65
5/23/2001,11.51
5/24/2001,11.5
5/25/2001,11.28
5/29/2001,10.64
5/30/2001,9.8
5/31/2001,9.89
6/1/2001,10.35
6/4/2001,10.24
6/5/2001,10.38
6/6/2001,10.27
6/7/2001,10.73
6/8/2001,10.57
6/11/2001,9.93
6/12/2001,10.07
6/13/2001,10.14
6/14/2001,9.85
6/15/2001,10.13
6/18/2001,10.08
6/19/2001,10.01
6/20/2001,10.74
6/21/2001,11.15
6/22/2001,11.03
6/25/2001,11.89
6/26/2001,11.77
6/27/2001,11.57
6/28/2001,11.67
6/29/2001,11.52
7/2/2001,11.84
7/3/2001,11.82
7/5/2001,11.49
7/6/2001,10.92
7/9/2001,11.25
7/10/2001,10.48
7/11/2001,11.17
7/12/2001,12.07
7/13/2001,12.32
7/16/2001,11.87
7/17/2001,12.44
7/18/2001,10.3
7/19/2001,9.89
7/20/2001,9.9
7/23/2001,9.68
7/24/2001,9.46
7/25/2001,9.15
7/26/2001,9.21
7/27/2001,9.4
7/30/2001,9.38
7/31/2001,9.31
8/1/2001,9.45
8/2/2001,9.82
8/3/2001,9.66
8/6/2001,9.48
8/7/2001,9.54
8/8/2001,9.37
8/9/2001,9.44
8/10/2001,9.43
8/13/2001,9.46
8/14/2001,9.28
8/15/2001,9.14
8/16/2001,9.24
8/17/2001,8.96
8/20/2001,8.98
8/21/2001,8.88
8/22/2001,9.02
8/23/2001,8.83
8/24/2001,9.2
8/27/2001,9.38
8/28/2001,9.12
8/29/2001,8.84
8/30/2001,8.84
8/31/2001,9.19
9/4/2001,9.04
9/5/2001,9.19
9/6/2001,8.78
9/7/2001,8.56
9/10/2001,8.61
9/17/2001,8.42
9/18/2001,8.07
9/19/2001,8.44
9/20/2001,7.77
9/21/2001,7.8
9/24/2001,8.15
9/25/2001,7.7
9/26/2001,7.51
9/27/2001,7.69
9/28/2001,7.69
10/1/2001,7.7
10/2/2001,7.46
10/3/2001,7.42
10/4/2001,7.87
10/5/2001,8
10/8/2001,8.03
10/9/2001,7.93
10/10/2001,8.34
10/11/2001,8.79
10/12/2001,8.93
10/15/2001,8.92
10/16/2001,8.93
10/17/2001,8.42
10/18/2001,8.92
10/19/2001,9.07
10/22/2001,9.43
10/23/2001,8.99
10/24/2001,9.39
10/25/2001,9.51
10/26/2001,9.25
10/29/2001,8.74
10/30/2001,8.72
10/31/2001,8.7
11/1/2001,9.21
11/2/2001,9.2
