Year	Index
1880	-22
1881	-14
1882	-17
1883	-20
1884	-27
1885	-25
1886	-24
1887	-32
1888	-20
1889	-10
1890	-33
1891	-27
1892	-32
1893	-36
1894	-33
1895	-25
1896	-18
1897	-19
1898	-32
1899	-21
1900	-15
1901	-21
1902	-30
1903	-36
1904	-43
1905	-30
1906	-26
1907	-42
1908	-43
1909	-47
1910	-46
1911	-44
1912	-41
1913	-39
1914	-23
1915	-16
1916	-36
1917	-44
1918	-32
1919	-29
1920	-27
1921	-21
1922	-29
1923	-26
1924	-24
1925	-22
1926	-9
1927	-19
1928	-17
1929	-32
1930	-12
1931	-8
1932	-11
1933	-26
1934	-10
1935	-16
1936	-11
1937	2
1938	5
1939	0
1940	6
1941	7
1942	5
1943	5
1944	13
1945	0
1946	-8
1947	-5
1948	-11
1949	-12
1950	-19
1951	-7
1952	1
1953	8
1954	-12
1955	-13
1956	-19
1957	4
1958	5
1959	3
1960	-4
1961	6
1962	5
1963	8
1964	-20
1965	-11
1966	-4
1967	-1
1968	-5
1969	7
1970	4
1971	-6
1972	2
1973	15
1974	-7
1975	-1
1976	-12
1977	15
1978	5
1979	12
1980	22
1981	28
1982	9
1983	27
1984	11
1985	7
1986	14
1987	28
1988	34
1989	23
1990	39
1991	37
1992	18
1993	19
1994	28
1995	42
1996	32
1997	45
1998	61
1999	39
2000	40
2001	52
2002	60
2003	59
2004	52
2005	65
2006	59
2007	62
2008	49
2009	59
2010	66
2011	54
2012	56
