Date,price
2-Jun-86,0.468
3-Jun-86,0.436
4-Jun-86,0.418
5-Jun-86,0.431
6-Jun-86,0.421
9-Jun-86,0.409
10-Jun-86,0.405
11-Jun-86,0.431
12-Jun-86,0.436
13-Jun-86,0.445
16-Jun-86,0.429
17-Jun-86,0.422
18-Jun-86,0.411
19-Jun-86,0.415
20-Jun-86,0.406
23-Jun-86,0.406
24-Jun-86,0.409
25-Jun-86,0.419
26-Jun-86,0.405
27-Jun-86,0.405
30-Jun-86,0.399
1-Jul-86,0.391
2-Jul-86,0.377
3-Jul-86,0.373
7-Jul-86,0.354
8-Jul-86,0.35
9-Jul-86,0.341
10-Jul-86,0.35
11-Jul-86,0.334
14-Jul-86,0.319
15-Jul-86,0.338
16-Jul-86,0.344
17-Jul-86,0.335
18-Jul-86,0.344
21-Jul-86,0.349
22-Jul-86,0.328
23-Jul-86,0.335
24-Jul-86,0.33
25-Jul-86,0.321
28-Jul-86,0.308
29-Jul-86,0.315
30-Jul-86,0.329
31-Jul-86,0.309
1-Aug-86,0.318
4-Aug-86,0.358
5-Aug-86,0.401
6-Aug-86,0.41
7-Aug-86,0.42
8-Aug-86,0.411
11-Aug-86,0.413
12-Aug-86,0.436
13-Aug-86,0.441
14-Aug-86,0.441
15-Aug-86,0.446
18-Aug-86,0.45
19-Aug-86,0.436
20-Aug-86,0.446
21-Aug-86,0.446
22-Aug-86,0.443
25-Aug-86,0.443
26-Aug-86,0.448
27-Aug-86,0.44
28-Aug-86,0.446
29-Aug-86,0.453
2-Sep-86,0.459
3-Sep-86,0.454
4-Sep-86,0.457
5-Sep-86,0.46
8-Sep-86,0.441
9-Sep-86,0.429
10-Sep-86,0.417
11-Sep-86,0.419
12-Sep-86,0.424
15-Sep-86,0.413
16-Sep-86,0.398
17-Sep-86,0.406
18-Sep-86,0.412
19-Sep-86,0.412
22-Sep-86,0.401
23-Sep-86,0.406
24-Sep-86,0.406
25-Sep-86,0.397
26-Sep-86,0.399
29-Sep-86,0.402
30-Sep-86,0.401
1-Oct-86,0.416
2-Oct-86,0.426
3-Oct-86,0.414
6-Oct-86,0.408
7-Oct-86,0.423
8-Oct-86,0.426
9-Oct-86,0.421
10-Oct-86,0.416
14-Oct-86,0.406
15-Oct-86,0.418
16-Oct-86,0.411
17-Oct-86,0.415
20-Oct-86,0.422
21-Oct-86,0.42
22-Oct-86,0.407
23-Oct-86,0.406
24-Oct-86,0.412
27-Oct-86,0.396
28-Oct-86,0.389
29-Oct-86,0.372
30-Oct-86,0.395
31-Oct-86,0.401
3-Nov-86,0.396
4-Nov-86,0.407
5-Nov-86,0.406
6-Nov-86,0.409
7-Nov-86,0.406
10-Nov-86,0.41
11-Nov-86,0.413
12-Nov-86,0.411
13-Nov-86,0.416
14-Nov-86,0.419
17-Nov-86,0.417
18-Nov-86,0.414
19-Nov-86,0.419
20-Nov-86,0.41
21-Nov-86,0.412
24-Nov-86,0.404
25-Nov-86,0.409
26-Nov-86,0.412
28-Nov-86,0.412
1-Dec-86,0.414
2-Dec-86,0.417
