 earn    date 	
 0.53 	2000q1
 0.58 	2000q2
 0.39 	2000q3
 0.86 	2000q4
 0.59 	2001q1
 0.68 	2001q2
 0.38 	2001q3
 0.38 	2001q4
 0.36 	2002q1
 0.81 	2002q2
 0.39 	2002q3
 0.78 	2002q4
 0.52 	2003q1
 0.81 	2003q2
 0.49 	2003q3
 0.92 	2003q4
 0.42 	2004q1
 0.30 	2004q2
 0.68 	2004q3
 1.36 	2004q4
 1.08 	2005q1
 1.15 	2005q2
 1.03 	2005q3
 1.46 	2005q4
 1.10 	2006q1
 1.53 	2006q2
 1.38 	2006q3
 1.82 	2006q4
 1.53 	2007q1
 1.64 	2007q2
 1.35 	2007q3
 1.96 	2007q4
 1.58 	2008q1
 1.54	2008q2
 1.26	2008q3
 1.45	2008q4
 1.23	2009q1
 1.58	2009q2	
 0.31	2009q3
 0.64	2009q4
 0.58	2010q1
 1.10	2010q2
 0.76	2010q3
 1.33	2010q4
 
