Date,Price,rtn
1/11/2005,1553.4,-0.00739
1/12/2005,1565.78,0.00794
1/13/2005,1545.18,-0.01324
1/14/2005,1561.11,0.01026
1/18/2005,1573.49,0.00790
1/19/2005,1545.65,-0.01785
1/20/2005,1514.56,-0.02032
1/21/2005,1503.64,-0.00724
1/24/2005,1480.66,-0.01540
1/25/2005,1490.57,0.00667
1/26/2005,1509.01,0.01230
1/27/2005,1507.55,-0.00097
1/28/2005,1499.46,-0.00538
1/31/2005,1519.63,0.01336
2/1/2005,1523.66,0.00265
2/2/2005,1525.1,0.00094
2/3/2005,1508.24,-0.01112
2/4/2005,1534.49,0.01725
2/7/2005,1529.05,-0.00355
2/8/2005,1532.69,0.00238
2/9/2005,1506.81,-0.01703
2/10/2005,1506.83,0.00001
2/11/2005,1530.51,0.01559
2/14/2005,1538.21,0.00502
2/15/2005,1547.3,0.00589
2/16/2005,1542.41,-0.00317
2/17/2005,1519.29,-0.01510
2/18/2005,1515.4,-0.00256
2/22/2005,1494.07,-0.01418
2/23/2005,1497.09,0.00202
2/24/2005,1517.71,0.01368
2/25/2005,1526.9,0.00604
2/28/2005,1511.02,-0.01045
3/1/2005,1527.25,0.01068
3/2/2005,1525.28,-0.00129
3/3/2005,1511.89,-0.00882
3/4/2005,1520.58,0.00573
3/7/2005,1545.2,0.01606
3/8/2005,1528.65,-0.01077
3/9/2005,1521.98,-0.00437
3/10/2005,1524.38,0.00158
3/11/2005,1505.64,-0.01237
3/14/2005,1515.09,0.00626
3/15/2005,1502.06,-0.00864
3/16/2005,1486.23,-0.01059
3/17/2005,1487.63,0.00094
3/18/2005,1484.4,-0.00217
3/21/2005,1484.45,0.00003
3/22/2005,1465.09,-0.01313
3/23/2005,1471.77,0.00455
3/24/2005,1469.94,-0.00124
3/28/2005,1472.71,0.00188
3/29/2005,1464.34,-0.00570
3/30/2005,1491.74,0.01854
3/31/2005,1482.53,-0.00619
4/1/2005,1469.35,-0.00893
4/4/2005,1476.72,0.00500
4/5/2005,1483.75,0.00475
4/6/2005,1480.67,-0.00208
